,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.5,1.13,0.65,0.66,0.57,0.44,0.71,0.71,0.71,0.69,0.78,0.45,0.77,0.43,0.65,0.77
e_1,0.65,1.52,0.69,0.79,0.56,0.57,0.84,0.82,0.71,1.35,0.89,0.97,0.85,0.57,0.72,0.82
d_1,0.76,0.64,1.53,0.59,0.72,0.56,0.8,0.62,1.38,0.44,0.84,0.81,0.8,0.75,0.61,0.7
c_1,0.75,0.64,0.71,1.59,1.11,0.54,0.75,0.76,0.43,0.68,0.69,0.72,0.81,0.66,0.62,0.73
b_1,0.85,0.67,0.79,0.5,1.59,0.87,0.79,0.76,0.76,0.83,0.52,0.84,0.93,0.69,0.58,0.72
a_1,0.94,0.61,0.8,0.78,0.58,1.79,1.0,0.77,1.05,0.85,0.95,0.77,1.0,0.95,0.61,0.87
h_1,1.18,0.85,0.92,0.94,0.82,0.64,1.73,1.08,0.95,0.91,0.96,1.08,0.83,0.71,0.96,1.4
g_1,0.84,0.82,1.36,0.85,0.87,0.69,1.01,1.81,0.87,0.88,1.06,1.54,1.0,0.85,0.89,0.83
c_0,1.05,1.11,0.85,0.75,0.73,0.66,1.1,1.15,1.6,1.3,1.88,1.14,1.21,1.07,1.19,1.17
d_0,1.07,0.82,0.76,1.58,0.86,0.64,1.2,1.04,0.74,1.59,1.03,0.94,1.21,1.07,0.94,1.12
b_0,1.01,0.97,0.93,1.08,0.68,0.68,1.26,1.1,0.91,1.23,1.61,1.15,1.41,1.03,1.79,1.14
f_0,0.75,0.75,1.13,1.11,0.96,0.75,1.08,0.92,1.17,1.24,1.16,1.65,1.39,1.98,1.05,1.03
h_0,1.28,1.12,1.06,1.11,0.72,0.65,0.87,1.34,1.21,1.16,1.06,1.07,0.9,0.84,1.06,1.23
e_0,1.47,0.66,1.06,0.94,0.96,0.79,1.46,1.14,1.15,1.01,1.17,0.7,1.59,1.79,1.12,1.14
a_0,1.16,0.84,1.16,1.02,1.02,0.47,1.27,1.2,1.27,1.06,1.03,1.18,1.35,1.12,1.74,1.41
g_0,0.9,0.94,1.47,1.1,0.91,0.79,0.96,0.9,1.3,1.05,1.31,1.6,1.33,1.16,1.0,0.88
