,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,13103.52,2755.61,4212.0,4920.48,7607.86,26046.7,3669057.4,20497346.09,11462769.93,10430789.79,17543072.43,32503524.54,110978060.05,268667756.91,77806038.31,235410445.28
d_1,2646.27,14808.21,3641.26,3050.97,7497.59,33010.78,3666705.5,5094042.84,22447405.2,10751161.98,25131497.99,34493983.94,117379692.23,202985768.84,215074563.48,253630956.26
f_1,5657.44,3028.19,15416.1,4410.97,5984.45,40021.16,3262423.92,9002718.86,9928064.95,8528929.51,16558908.5,10405991.76,119663251.36,171533794.76,111592097.42,198566294.36
c_1,3008.46,3010.42,3751.6,16470.29,15670.83,28271.65,4315080.67,8669225.67,5158961.83,9710998.58,13456549.96,30310684.24,96219953.36,181336465.12,139329260.6,187142059.48
b_1,3255.92,3770.05,4118.48,3245.82,37820.09,68618.21,3491556.76,9240247.35,9453441.57,9995821.27,8517472.6,27095156.71,101601057.23,194634728.76,116031807.07,164564925.07
a_1,3678.9,3663.44,4217.74,3948.71,4927.29,247835.89,4457763.2,11023293.4,11807064.73,10756381.12,21338784.45,34766145.03,97286287.42,212610685.61,140601778.83,122557338.54
h_1,3938.14,4339.99,5894.94,4857.93,8914.45,41517.72,11714832.21,11259140.84,12130972.27,15438370.16,23101101.16,36219976.01,86627820.81,303689483.37,181073485.72,277605665.72
d_0,3747.77,1941.71,5080.79,9334.85,10065.56,40624.04,5355033.78,23610851.1,8442152.06,12153151.77,23606136.28,32044785.91,126953699.13,214219920.79,154342297.47,306126183.39
c_0,4017.1,5171.12,4747.24,3482.73,8217.63,42491.62,4421918.98,12784460.19,26223294.34,10779010.64,48082156.93,43452379.5,126041548.49,275946794.75,218063801.21,316792201.0
g_1,2943.09,7195.06,3670.47,5164.21,9374.11,32469.87,4794700.47,11287584.35,13757126.71,37550531.18,24739519.58,58892607.44,103423551.2,191240790.26,204540670.57,250533689.48
b_0,3964.38,5069.71,5329.43,5072.99,5856.02,35809.94,5961535.71,11761876.87,15755827.18,11223098.48,52005154.2,40894885.36,147720155.82,289739227.84,177398737.42,602545256.08
f_0,3666.4,5598.39,2315.49,5086.49,9819.8,43235.11,5504615.73,14031308.86,15358282.06,12269542.68,26692078.12,78365064.85,139378840.18,338774949.94,382122843.04,297766971.05
h_0,4394.16,4657.32,6294.56,4657.05,7512.59,38369.07,3313249.62,13322477.9,13205753.73,16638243.49,21819129.7,37912498.26,76426787.7,336499300.45,163858958.39,216780332.94
g_0,3238.12,7291.69,3663.27,5287.59,8739.71,40559.61,5337091.97,10518780.52,14299365.66,10267125.46,21239019.59,59437909.36,122185796.84,156613419.52,182466755.63,261035997.89
e_0,1994.34,5204.88,4592.49,5214.63,9619.44,50196.08,5975250.69,11564248.23,16295731.39,12351936.99,30380639.66,44454946.06,178150953.37,311462588.15,539640152.29,289824074.52
a_0,3673.24,4822.9,4161.37,5670.13,10201.43,29848.81,4993207.17,13494454.81,14592244.23,14232714.31,28455348.62,40281715.68,160313653.93,262563341.28,191680615.54,707578564.3
