,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.18,6.53,11.74,15.06,12.65,13.39,3.63,4.18,3.15,2.75,2.39,3.25,1.76,2.32,2.95,
f_1,17.29,0.18,12.85,17.13,10.18,14.29,2.29,3.42,2.97,2.35,2.77,,1.16,2.66,1.29,3.25
d_1,12.3,12.53,0.16,13.64,12.64,13.22,3.37,2.24,,2.63,2.9,2.27,1.68,3.43,1.1,3.29
c_1,17.07,16.56,14.08,0.15,17.31,11.86,3.44,3.81,1.19,,2.49,2.25,1.95,2.22,1.6,2.36
b_1,11.32,13.91,14.67,6.73,0.13,12.3,4.34,4.0,2.12,2.89,,3.66,1.54,3.06,2.35,2.38
a_1,15.51,10.59,11.42,14.65,6.75,0.09,5.45,2.89,2.44,3.09,3.59,2.84,2.51,,,
h_1,3.95,3.84,2.94,2.77,3.53,3.44,0.07,0.72,0.72,0.61,0.48,0.85,,0.89,0.51,0.53
g_1,4.03,4.76,3.32,3.29,2.67,3.66,0.58,0.06,0.98,0.73,0.63,0.71,0.37,0.7,,0.78
d_0,1.4,2.67,,2.07,3.56,2.55,0.6,1.14,0.09,0.46,0.7,0.42,0.47,0.42,0.48,0.38
c_0,2.12,2.6,1.44,,2.49,2.6,0.73,1.11,0.53,0.08,0.62,0.45,0.38,0.46,0.45,0.5
b_0,2.39,2.45,3.59,3.12,,3.31,0.65,0.59,0.58,0.3,0.07,0.53,0.36,0.68,0.29,0.41
f_0,2.83,,2.49,2.56,1.89,2.03,0.88,0.49,0.64,0.98,0.44,0.06,0.39,0.49,0.27,0.45
h_0,2.16,1.63,1.54,1.45,2.07,1.55,,0.38,0.32,0.3,0.33,0.31,,0.42,0.2,0.35
a_0,2.88,2.55,3.03,2.43,3.9,,0.74,0.8,0.39,0.78,0.27,0.62,0.45,0.05,0.44,
g_0,1.56,1.84,1.62,2.14,2.51,,0.54,,0.34,0.27,0.43,0.48,0.12,0.29,,0.29
e_0,,3.04,3.57,2.83,2.38,,0.56,0.85,0.48,0.44,0.49,0.26,0.37,,0.26,0.04
