,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.75,1.0,1.15,0.9,0.88,0.78,0.69,0.88,0.68,0.64,0.65,0.67,0.64,0.5,0.56
f_1,1.33,1.0,0.9,1.02,0.8,0.79,0.54,0.71,0.63,0.6,0.61,0.54,0.52,0.45,0.46,0.51
d_1,1.0,1.12,1.0,0.86,0.92,0.84,0.74,0.56,0.73,0.88,0.74,0.62,0.62,0.59,0.63,0.48
c_1,0.87,0.98,1.17,1.0,1.43,0.81,0.75,0.66,0.48,0.54,0.55,0.55,0.61,0.54,0.53,0.53
b_1,1.11,1.25,1.09,0.7,1.0,1.22,0.76,0.84,0.67,0.59,0.64,0.77,0.49,0.75,0.64,0.68
a_1,1.13,1.28,1.17,1.24,0.82,1.0,0.96,1.0,0.72,0.8,0.88,0.64,1.14,0.8,0.71,0.84
h_1,1.28,1.75,1.33,1.42,1.34,1.04,1.0,1.09,0.84,0.88,0.89,0.94,0.79,0.87,0.77,0.97
g_1,1.48,1.48,1.73,1.51,1.22,0.93,0.91,1.0,1.04,0.94,0.96,1.14,0.92,0.97,0.8,0.75
d_0,1.12,1.52,1.39,2.12,1.5,1.42,1.14,0.98,1.0,0.86,0.94,0.82,0.89,0.92,0.92,0.85
c_0,1.51,1.57,1.11,1.95,1.65,1.21,1.14,1.06,1.26,1.0,1.35,1.01,1.01,1.09,0.92,0.8
b_0,1.65,1.63,1.3,1.75,1.63,1.07,1.09,1.04,1.06,0.71,1.0,0.97,1.29,1.03,0.89,0.83
f_0,1.48,1.92,1.51,1.77,1.41,1.7,1.06,0.85,1.24,1.04,0.93,1.0,0.96,1.22,1.36,0.72
a_0,1.58,1.92,1.66,1.55,2.02,1.05,1.21,1.04,1.06,0.97,0.82,1.04,1.0,1.05,1.19,1.06
h_0,1.57,2.2,1.71,1.72,1.44,1.18,1.19,1.07,1.05,0.94,1.0,0.85,0.9,1.0,1.06,1.1
e_0,2.05,2.25,1.61,1.85,1.6,1.44,1.34,1.25,1.13,1.04,1.14,0.72,0.85,0.89,1.0,0.98
g_0,1.8,1.9,2.15,1.9,1.47,1.25,1.04,1.36,1.11,1.23,1.16,1.36,0.89,0.9,1.02,1.0
