,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.07,5.66,8.55,8.83,8.5,7.7,3.56,3.24,3.05,2.79,2.94,2.52,2.2,2.42,2.11,
f_1,11.58,1.07,9.62,8.19,10.67,11.35,3.06,2.97,3.79,3.08,,2.49,1.31,1.87,1.94,1.88
c_1,9.46,9.56,1.07,10.62,11.51,8.05,3.33,1.95,3.24,,2.61,3.1,2.57,2.91,2.75,2.32
d_1,12.76,11.55,10.07,1.07,9.43,7.79,3.37,,2.59,3.31,2.95,2.7,2.05,2.46,1.55,2.61
b_1,11.54,10.81,6.86,10.85,1.07,11.68,4.29,3.1,3.99,2.98,4.58,,2.47,,1.74,2.51
a_1,15.31,10.36,15.87,14.82,7.6,1.07,5.17,3.99,3.49,6.15,4.02,,3.67,,3.45,
h_1,18.69,13.1,14.22,13.0,13.15,12.42,1.41,3.78,5.13,3.8,3.13,3.16,,2.84,3.18,3.71
d_0,8.57,14.13,15.75,,17.62,13.55,4.69,1.69,5.07,4.13,3.72,3.85,2.93,3.07,3.35,3.03
g_1,15.61,18.76,18.26,17.1,13.47,15.69,4.94,5.53,1.41,5.37,4.48,5.5,2.71,,,
c_0,15.47,12.86,,9.81,17.34,10.44,5.8,5.37,6.63,1.7,4.84,5.63,2.98,4.05,3.02,2.69
f_0,15.78,,14.56,18.13,12.87,13.52,6.45,4.72,4.82,4.45,1.77,5.01,5.9,3.73,2.3,4.79
b_0,20.96,20.37,18.01,19.81,,,6.58,5.49,5.9,2.76,4.66,1.69,3.72,5.8,3.97,
h_0,16.75,20.81,13.63,15.34,11.8,14.39,,5.88,7.01,4.49,3.46,4.21,,3.78,4.82,4.04
a_0,24.82,32.12,29.18,26.37,,,11.64,6.21,,7.34,6.17,3.7,4.93,1.69,4.45,
g_0,16.66,21.55,14.86,17.16,21.34,17.8,6.15,6.19,,5.72,7.8,5.45,3.4,5.45,,5.21
e_0,,28.14,29.82,23.78,26.85,,8.27,7.38,,9.67,3.85,,6.43,,3.89,1.75
