,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.01,0.1,0.09,0.1,0.11,0.19,0.16,0.23,0.19,0.21,,0.29,0.25,0.34,0.32,0.49
e_1,0.05,0.01,0.09,0.11,0.11,0.2,0.19,0.23,0.2,0.25,0.22,0.2,0.23,,0.39,0.3
d_1,0.07,0.08,0.01,0.11,0.09,0.15,0.16,0.13,0.26,,0.19,0.22,0.22,0.42,0.24,0.24
c_1,0.04,0.04,0.04,0.01,0.07,0.1,0.1,0.14,,0.07,0.11,0.15,0.15,0.23,0.18,0.18
b_1,0.04,0.05,0.03,0.03,0.01,0.1,0.09,0.13,0.09,0.13,0.13,,0.16,0.21,0.17,0.17
a_1,0.01,0.01,0.01,0.01,0.01,,0.02,0.02,0.03,0.03,0.03,,0.03,,,0.04
h_1,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
