,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10.61,0.59,1.95,0.78,0.65,0.53,0.81,0.8,0.75,0.97,0.86,0.59,0.89,0.88,0.66,0.82
d_1,0.78,13.5,0.62,0.55,0.6,0.68,0.95,1.05,2.54,0.57,1.42,1.04,0.96,1.26,1.04,0.89
e_1,0.76,0.6,11.5,0.97,0.64,0.58,1.06,0.92,0.84,2.39,0.92,1.0,1.11,0.87,0.8,1.01
c_1,0.69,0.65,0.57,11.35,1.77,0.77,0.89,0.78,0.48,0.88,0.62,0.9,0.94,0.88,0.85,0.92
b_1,0.61,0.79,0.55,0.58,13.48,2.1,0.85,0.89,0.76,0.87,0.59,0.97,0.94,0.74,0.99,1.11
a_1,0.82,0.66,0.66,0.78,0.74,19.29,1.26,0.96,0.94,0.81,0.95,1.05,1.04,0.62,1.11,1.07
h_1,1.14,0.83,0.83,0.84,0.57,0.67,3.7,1.49,1.01,0.8,1.2,1.05,0.8,1.12,1.12,1.69
g_1,0.74,1.71,0.51,0.7,0.73,0.68,0.94,4.15,1.26,0.75,1.01,1.9,0.94,1.07,1.41,0.94
c_0,0.98,1.12,0.7,0.61,0.5,0.55,1.05,1.27,2.37,1.0,3.31,1.24,1.36,1.54,1.05,1.09
d_0,0.73,0.52,0.64,2.54,0.84,0.59,1.06,1.01,0.63,2.11,1.16,1.15,1.0,1.1,1.06,0.98
b_0,0.83,1.02,0.75,0.98,0.42,0.53,1.2,1.17,1.24,1.13,2.75,1.27,1.29,2.7,1.14,1.16
f_0,0.59,1.05,0.52,0.9,0.81,0.76,1.18,1.05,1.27,1.06,1.39,2.62,1.32,1.22,3.42,1.24
h_0,1.4,1.08,0.75,0.64,0.62,0.67,0.65,1.56,1.11,0.85,1.11,0.96,0.86,0.92,0.96,1.6
a_0,0.8,0.89,0.8,0.93,0.71,0.51,0.87,1.15,1.14,1.1,1.14,1.1,1.21,3.15,1.39,0.93
e_0,0.88,0.85,0.59,0.78,0.81,0.84,1.11,1.32,1.29,0.91,1.57,1.17,1.24,1.36,3.15,1.04
g_0,0.65,1.86,0.69,0.68,0.53,0.71,0.96,0.8,1.11,0.7,1.27,2.1,1.16,1.02,1.31,0.99
