,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.46,0.67,1.02,0.52,0.66,0.59,0.84,0.81,0.94,0.92,1.12,0.42,0.93,1.01,0.81,0.9
c_1,0.62,2.69,0.59,1.23,0.62,0.55,0.77,0.98,0.32,0.88,0.49,0.79,0.7,0.94,0.82,0.94
e_1,0.74,0.86,2.72,0.64,0.47,0.52,1.11,1.67,0.9,0.78,0.99,0.91,0.93,0.97,0.34,1.0
b_1,0.66,0.66,0.61,2.86,0.67,1.16,0.92,0.75,0.83,0.93,0.5,0.94,0.71,0.82,1.16,0.84
d_1,0.66,0.4,0.67,0.6,3.04,0.72,0.85,0.51,1.81,0.94,1.21,1.3,1.13,1.05,1.08,1.03
a_1,0.72,0.65,0.63,0.61,0.83,4.25,0.98,0.75,0.84,0.83,1.04,1.06,0.52,0.84,1.02,0.96
h_1,1.01,0.96,0.7,0.71,0.82,0.69,2.91,1.08,1.0,1.48,1.16,1.06,1.14,0.8,1.02,1.46
d_0,0.84,1.5,0.72,0.86,0.48,0.58,1.07,1.97,0.77,0.9,0.77,1.2,1.09,1.27,1.39,1.19
c_0,0.83,0.56,0.81,0.59,0.92,0.74,1.16,1.12,2.36,1.12,2.39,1.39,1.7,1.43,1.34,1.22
g_1,0.71,0.8,0.76,0.61,1.47,0.62,0.87,0.91,1.19,3.49,1.09,1.65,1.24,1.23,1.21,0.76
b_0,0.91,0.83,0.79,0.42,0.92,0.59,1.04,1.3,1.33,1.08,2.5,1.17,2.72,1.35,1.22,1.41
f_0,0.69,0.95,0.63,0.76,0.82,0.9,1.23,1.37,1.29,1.01,1.33,2.71,1.32,1.27,2.48,1.21
a_0,1.03,0.89,0.9,0.69,0.7,0.48,1.27,1.27,1.05,1.08,1.21,1.25,3.26,1.48,1.42,1.11
h_0,1.2,0.87,0.67,0.79,0.77,0.74,0.61,1.26,1.06,1.46,1.26,1.08,1.29,0.73,1.34,1.38
e_0,1.02,0.75,0.5,0.89,0.97,0.76,1.28,0.99,1.18,1.2,1.14,1.29,1.37,1.21,3.22,1.55
g_0,0.67,0.77,0.62,0.77,1.3,0.78,1.22,1.07,1.09,0.72,1.18,1.89,1.2,1.29,1.67,0.77
