,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.17,1.83,2.01,1.58,1.89,1.66,0.4,0.28,0.36,0.3,1.4,0.33,0.19,0.32,0.31,0.15
f_1,1.56,0.16,1.64,2.0,1.36,1.51,0.35,0.61,0.36,0.32,0.36,0.81,0.22,0.32,0.34,0.28
e_1,2.05,0.89,0.16,1.56,1.8,1.46,0.63,0.6,0.39,0.37,0.3,0.4,0.27,0.47,3.03,0.35
c_1,2.14,1.97,1.34,0.15,2.05,1.79,0.43,0.45,1.44,0.32,0.15,0.31,0.24,0.36,0.28,0.29
b_1,1.56,1.78,1.5,1.01,0.13,2.89,0.49,0.47,0.41,1.32,0.41,0.26,0.26,0.39,0.35,0.21
a_1,1.75,1.43,1.74,2.43,0.8,0.1,0.62,0.56,0.34,0.51,0.47,0.41,0.31,1.72,0.35,0.26
h_1,1.01,0.94,0.93,1.01,0.96,0.84,0.07,0.29,0.2,0.18,0.22,0.21,0.3,0.17,0.19,0.13
g_1,0.86,1.25,0.99,0.86,1.05,0.97,0.2,0.06,0.17,0.19,0.18,0.18,0.11,0.19,0.15,0.31
c_0,0.42,1.14,1.16,3.24,0.94,0.94,0.29,0.31,0.07,0.18,0.22,0.24,0.14,0.2,0.22,0.15
b_0,0.73,0.93,1.03,1.13,4.03,0.7,0.25,0.27,0.09,0.07,0.2,0.17,0.11,0.17,0.17,0.12
d_0,2.67,1.1,0.44,0.79,1.32,0.87,0.44,0.41,0.23,0.19,0.07,0.21,0.14,0.18,0.26,0.13
f_0,0.85,3.28,0.9,0.72,0.98,1.16,0.27,0.17,0.14,0.16,0.19,0.06,0.12,0.15,0.19,0.07
h_0,0.84,1.17,0.95,1.03,1.05,0.64,0.74,0.23,0.16,0.18,0.17,0.17,0.3,0.16,0.16,0.14
a_0,1.1,0.89,0.95,0.85,0.88,2.22,0.27,0.26,0.16,0.09,0.17,0.21,0.15,0.05,0.14,0.15
e_0,0.71,1.07,3.19,0.96,1.01,0.67,0.23,0.28,0.15,0.16,0.17,0.07,0.1,0.19,0.05,0.12
g_0,0.69,1.09,1.35,0.92,0.86,0.86,0.19,0.57,0.18,0.2,0.26,0.16,0.12,0.12,0.18,0.26
