,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.05,1.18,1.75,1.62,1.83,1.49,0.63,0.63,0.66,0.5,0.53,0.46,0.44,0.39,0.69,0.4
f_1,1.92,1.05,1.7,1.57,1.68,1.25,0.51,0.68,0.51,0.42,0.55,0.45,0.43,0.29,0.35,0.36
c_1,1.61,1.87,1.05,2.17,1.93,1.35,0.73,0.66,0.35,0.57,0.52,0.51,0.5,0.4,0.47,0.35
d_1,2.12,2.1,1.88,1.04,1.72,1.53,0.71,0.48,0.75,0.57,0.54,0.51,0.53,0.41,0.42,0.28
b_1,1.82,2.05,1.32,2.13,1.06,1.89,0.83,0.77,0.64,0.68,0.55,0.85,0.54,0.49,0.5,0.44
a_1,2.98,3.57,2.96,2.76,1.66,1.07,1.14,1.03,0.96,0.9,0.76,1.08,0.96,0.75,0.77,0.68
h_1,4.63,5.22,4.49,4.49,4.61,3.15,1.26,1.9,1.39,1.27,1.24,1.27,1.13,1.21,1.0,1.05
g_1,5.39,5.55,5.41,5.76,5.63,4.62,1.73,1.29,1.66,1.33,1.61,1.41,1.37,1.03,1.23,1.24
d_0,3.74,5.54,6.56,7.36,5.08,4.59,2.28,2.44,1.41,1.53,1.53,1.83,1.65,1.15,1.6,1.37
c_0,7.35,7.73,8.37,4.42,6.28,5.37,2.88,2.4,2.66,1.43,1.9,2.01,1.74,1.55,1.53,1.56
f_0,6.53,8.45,7.41,6.72,6.4,5.14,2.67,1.82,2.13,1.81,1.43,2.01,1.66,1.72,2.2,1.07
b_0,7.67,7.65,7.98,6.09,7.14,4.96,2.64,2.42,2.05,1.19,1.75,1.4,2.16,1.45,1.42,1.5
a_0,8.69,8.52,8.99,6.88,8.99,7.48,3.34,3.05,2.5,1.93,2.09,1.4,1.46,1.74,2.23,1.67
h_0,8.24,9.02,8.56,7.48,7.87,6.37,3.86,3.2,3.01,2.28,2.23,2.5,2.09,2.1,2.07,1.84
e_0,10.04,12.95,9.05,7.84,8.64,6.63,3.73,3.23,3.0,2.71,1.52,2.93,2.08,2.09,1.54,1.76
g_0,9.38,10.31,10.79,10.12,9.14,7.81,3.19,4.02,3.06,2.73,3.25,2.96,2.62,1.81,2.85,2.4
