,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.78,1.26,1.66,2.25,4.35,20.98,38.8,31.13,40.51,50.78,57.78,101.03,115.13,169.73,
f_1,1.28,1.0,1.33,1.5,2.12,4.05,15.86,29.27,34.63,38.06,43.41,,72.63,112.76,122.83,
d_1,0.79,0.75,1.0,1.23,1.38,3.0,15.07,,32.19,27.15,28.5,41.85,80.42,75.17,89.03,83.88
c_1,0.6,0.66,0.81,1.0,1.93,2.44,14.1,16.97,,23.5,25.63,31.43,51.99,94.29,79.81,74.97
b_1,0.44,0.47,0.72,0.52,1.0,2.2,9.14,17.73,20.41,,,20.57,44.88,47.11,56.64,76.34
a_1,0.23,0.25,0.33,0.41,0.46,1.0,4.09,8.89,9.83,12.73,11.79,,23.52,,31.73,
h_1,0.05,0.06,0.07,0.07,0.11,0.24,1.0,1.64,1.52,2.67,2.11,3.32,,4.73,9.89,7.21
d_0,0.03,0.03,,0.06,0.06,0.11,0.61,1.0,1.2,1.46,1.44,2.04,3.63,2.85,4.09,5.53
c_0,0.03,0.03,0.03,,0.05,0.1,0.66,0.83,1.0,1.07,1.81,1.77,2.4,3.75,3.83,
g_1,0.02,0.03,0.04,0.04,,0.08,0.37,0.69,0.94,1.0,0.99,1.83,1.69,,,
b_0,0.02,0.02,0.04,0.04,,0.08,0.47,0.7,0.55,1.01,1.0,1.66,2.2,4.24,3.19,3.16
f_0,0.02,,0.02,0.03,0.05,,0.3,0.49,0.57,0.55,0.6,1.0,1.73,1.91,1.57,3.66
h_0,0.01,0.01,0.01,0.02,0.02,0.04,,0.28,0.42,0.59,0.45,0.58,,1.01,1.58,1.36
a_0,0.01,0.01,0.01,0.01,0.02,,0.21,0.35,0.27,,0.24,0.52,0.99,1.0,1.06,
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.1,0.24,0.26,,0.31,0.64,0.63,0.95,,0.91
e_0,,,0.01,0.01,0.01,,0.14,0.18,,,0.32,0.27,0.74,,1.1,1.0
