,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.23,1.44,1.33,1.5,3.02,21.4,28.95,32.22,35.29,50.04,48.86,86.83,81.92,100.36,131.01
c_1,0.82,1.0,0.9,1.57,1.45,2.6,17.9,18.48,23.35,30.21,32.95,46.75,67.85,78.93,102.76,104.95
e_1,0.7,1.09,1.0,1.18,1.06,2.4,20.78,31.88,25.76,28.13,43.29,53.89,70.43,79.07,96.08,113.94
b_1,0.75,0.65,0.83,1.0,1.1,3.21,18.2,17.72,25.04,25.81,37.02,42.12,58.15,64.41,89.82,89.68
d_1,0.65,0.71,0.92,0.9,1.0,2.17,15.85,20.34,27.74,18.03,39.95,43.76,70.34,62.14,82.62,73.27
a_1,0.32,0.37,0.43,0.32,0.47,1.0,8.22,10.15,10.15,11.61,17.53,18.99,28.37,29.71,40.25,41.87
h_1,0.05,0.06,0.05,0.06,0.06,0.12,1.0,1.19,1.34,1.74,2.09,2.43,3.53,4.35,4.74,5.67
d_0,0.04,0.05,0.03,0.06,0.05,0.09,0.83,1.0,0.97,1.17,1.48,1.99,2.82,3.26,4.84,4.32
c_0,0.03,0.04,0.04,0.04,0.04,0.09,0.79,1.09,1.0,0.95,2.04,1.88,3.67,3.13,4.18,3.58
g_1,0.03,0.03,0.04,0.04,0.05,0.08,0.55,0.83,1.04,1.0,1.48,2.05,2.62,2.45,3.81,3.68
b_0,0.02,0.03,0.02,0.03,0.03,0.06,0.49,0.66,0.51,0.65,1.0,1.16,2.46,1.84,2.42,2.38
f_0,0.02,0.02,0.02,0.02,0.02,0.05,0.41,0.49,0.54,0.47,0.89,1.0,1.59,1.7,2.78,1.7
a_0,0.01,0.01,0.01,0.02,0.01,0.03,0.29,0.35,0.29,0.4,0.43,0.66,1.0,1.11,1.38,1.31
h_0,0.01,0.01,0.01,0.02,0.02,0.03,0.24,0.3,0.31,0.38,0.53,0.59,0.95,1.0,1.28,1.41
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.21,0.22,0.26,0.26,0.43,0.34,0.74,0.8,1.0,0.91
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.23,0.27,0.28,0.42,0.57,0.76,0.7,1.11,1.0
