,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.88,0.09,0.09,0.08,0.07,0.05,0.08,0.08,0.09,0.13,0.06,0.06,0.04,0.08,0.01,0.06
f_1,0.18,0.87,0.07,0.08,0.06,0.04,0.08,0.05,0.07,0.08,0.01,0.06,0.05,0.07,0.03,0.05
d_1,0.08,0.08,0.88,0.06,0.07,0.06,0.08,0.07,0.15,0.02,0.07,0.07,0.05,0.06,0.06,0.06
c_1,0.1,0.07,0.08,0.88,0.13,0.04,0.09,0.06,0.01,0.07,0.07,0.05,0.05,0.06,0.04,0.05
b_1,0.09,0.1,0.08,0.07,0.87,0.08,0.09,0.07,0.07,0.07,0.07,0.01,0.03,0.09,0.04,0.05
a_1,0.12,0.08,0.08,0.06,0.06,0.87,0.08,0.06,0.08,0.07,0.07,0.06,0.01,0.09,0.05,0.05
h_1,0.13,0.22,0.15,0.13,0.1,0.08,0.52,0.15,0.13,0.13,0.11,0.15,0.12,0.05,0.09,0.15
g_1,0.13,0.15,0.22,0.17,0.12,0.07,0.08,0.52,0.12,0.09,0.16,0.13,0.09,0.14,0.05,0.05
c_0,0.13,0.18,0.21,,0.09,0.08,0.15,0.12,0.36,0.11,0.14,0.28,0.11,0.12,0.11,0.14
d_0,0.16,0.19,0.05,0.25,0.11,0.05,0.14,0.14,0.13,0.37,0.11,0.13,0.1,0.16,0.08,0.1
f_0,0.13,0.05,0.22,0.17,0.1,0.09,0.15,0.13,0.16,0.18,0.39,0.13,0.09,0.14,0.22,0.12
b_0,0.14,0.17,0.17,0.17,0.03,0.07,0.15,0.13,0.15,0.14,0.16,0.37,0.21,0.13,0.09,0.13
a_0,0.16,0.22,0.18,0.14,0.09,0.03,0.14,0.13,0.13,0.14,0.12,0.11,0.38,0.13,0.1,0.12
h_0,0.13,0.25,0.17,0.11,0.12,0.08,0.05,0.15,0.13,0.11,0.1,0.11,0.08,0.06,0.06,0.12
e_0,0.04,0.21,0.16,0.15,0.17,0.07,0.15,0.12,0.16,0.16,0.12,0.16,0.09,0.15,0.38,0.11
g_0,0.14,0.13,0.29,0.13,0.09,0.07,0.1,0.04,0.12,0.1,0.17,0.13,0.11,0.12,0.1,0.05
