,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.12,3.78,4.28,4.27,4.8,4.33,0.92,1.45,0.9,0.84,0.79,1.33,0.73,0.42,0.75,0.87
e_1,2.61,1.12,4.97,4.3,5.02,4.55,1.44,1.35,1.07,0.96,0.93,1.16,0.96,0.67,0.67,1.53
d_1,4.66,5.34,1.11,5.02,4.25,3.96,1.24,0.73,1.86,0.92,0.97,0.86,0.9,0.65,0.45,0.94
c_1,4.55,4.3,5.78,1.12,4.88,5.04,1.38,1.28,0.55,1.95,0.91,0.87,0.9,0.69,0.72,0.81
b_1,5.86,6.63,6.42,3.09,1.13,5.21,1.98,2.16,1.3,1.52,2.06,1.32,1.49,1.0,0.95,1.41
a_1,9.62,8.1,6.33,8.96,3.65,1.14,2.56,2.47,1.68,1.73,1.84,1.35,5.49,1.56,1.05,1.7
h_1,17.18,12.36,15.37,16.93,15.76,12.78,1.75,4.96,3.21,3.15,3.15,2.95,3.0,3.91,2.06,3.02
g_1,20.15,19.23,17.68,22.65,18.79,16.4,4.01,1.77,3.84,3.78,3.86,3.61,3.23,1.91,3.94,3.33
d_0,19.39,10.73,46.12,20.36,19.45,19.65,4.92,8.72,2.26,4.17,3.89,3.63,4.03,3.24,2.68,3.51
c_0,25.05,17.98,9.64,38.76,23.44,19.29,4.89,6.18,5.98,2.18,4.31,4.13,4.32,3.19,3.17,3.58
b_0,22.27,18.44,16.18,32.83,58.36,22.64,6.74,6.54,5.17,2.25,2.33,4.31,4.75,3.51,3.8,4.13
f_0,43.99,23.2,22.16,26.59,24.94,25.72,7.68,5.44,5.43,4.42,6.02,2.41,5.64,4.18,2.37,6.94
a_0,30.83,24.8,28.21,28.98,43.54,49.6,9.34,9.19,5.87,4.93,3.03,5.94,2.4,4.27,3.89,4.59
h_0,32.79,29.48,26.87,30.64,31.53,22.89,12.84,9.19,6.59,6.4,5.0,5.66,6.22,6.97,3.89,6.04
g_0,41.94,36.32,35.19,41.24,40.34,34.15,7.98,13.88,8.25,7.98,7.57,7.61,8.13,4.4,7.79,5.93
e_0,54.65,52.12,32.2,41.24,34.72,35.31,9.34,11.15,7.41,6.4,7.27,3.23,10.32,5.73,4.61,2.49
