,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.06,2.51,1.91,2.14,1.81,1.7,0.62,0.61,0.74,0.6,0.93,0.61,0.39,0.59,0.44,0.59
e_1,1.42,1.06,2.73,2.13,2.25,2.11,0.9,0.83,0.89,0.63,0.76,0.62,0.61,0.82,0.76,0.47
c_1,2.9,1.97,1.06,2.87,2.87,1.73,0.83,0.46,0.91,0.86,0.64,0.58,0.57,0.54,0.54,0.53
d_1,2.53,2.88,2.26,1.06,2.3,1.93,1.0,1.29,0.62,0.78,0.69,0.84,0.61,0.68,0.6,0.37
b_1,3.21,3.13,1.64,2.89,1.07,3.31,1.08,0.93,1.1,0.86,0.79,1.21,0.66,0.66,0.79,0.55
a_1,4.15,3.4,3.81,3.83,1.84,1.07,1.41,1.25,1.23,1.21,1.03,1.06,0.81,0.89,1.45,0.8
h_1,6.9,6.56,6.78,5.76,5.67,5.25,1.34,1.68,2.33,1.78,1.61,1.76,1.5,1.25,1.41,1.29
d_0,7.39,4.25,8.95,11.0,6.08,5.17,2.93,1.53,2.8,2.06,2.15,2.23,1.69,1.58,1.66,2.45
g_1,8.07,7.06,7.57,6.97,6.73,7.01,1.99,2.25,1.35,1.71,2.49,1.85,1.26,1.83,1.94,1.85
c_0,8.54,7.8,13.49,4.32,7.98,6.52,2.84,2.47,3.11,1.56,2.12,2.72,1.84,1.78,2.21,1.77
f_0,14.79,6.81,8.81,6.3,7.85,6.45,3.64,2.21,1.97,2.26,1.53,2.26,1.91,2.49,2.06,1.25
b_0,9.25,7.97,11.42,6.3,11.51,7.61,3.07,2.5,2.89,1.43,2.27,1.5,1.68,1.86,2.36,1.82
h_0,11.07,8.13,8.98,9.34,8.26,7.18,5.46,2.88,3.92,2.77,2.5,2.71,2.63,2.04,2.38,2.12
e_0,14.45,12.29,14.89,9.12,11.64,9.06,5.0,3.94,3.79,2.88,1.85,3.23,2.8,1.62,2.97,2.25
a_0,15.71,10.4,12.81,10.28,10.95,10.42,4.64,3.77,3.72,2.8,3.39,2.01,2.59,2.37,1.59,2.87
g_0,12.46,12.89,10.5,12.32,10.3,9.66,3.63,2.9,5.77,3.78,3.2,3.12,2.19,2.65,2.59,3.04
