,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,12.7,0.68,0.48,0.95,0.67,0.56,0.88,0.83,2.18,0.99,1.04,1.08,0.96,0.68,0.96,1.07
f_1,1.84,12.61,0.61,0.53,0.64,0.45,0.87,0.78,0.8,0.89,0.5,0.99,0.96,0.59,0.71,0.89
d_1,0.65,0.79,15.48,0.43,0.55,0.6,1.12,0.93,0.57,2.34,1.1,1.32,0.91,1.12,1.29,1.18
c_1,0.43,0.64,0.64,13.83,1.41,0.76,0.85,0.91,0.87,0.37,0.91,0.63,0.94,0.92,0.77,0.88
b_1,0.56,0.65,0.7,0.67,14.76,1.62,0.81,0.92,0.93,0.77,0.73,0.44,1.12,0.94,0.87,0.66
a_1,0.64,0.69,0.7,0.65,0.66,21.34,1.05,0.94,0.85,1.0,1.14,1.02,1.0,1.08,1.16,0.61
h_1,0.61,1.12,0.88,0.77,0.59,0.66,3.65,1.37,0.8,1.03,1.01,1.14,0.78,0.88,1.6,1.03
g_1,0.53,0.57,1.58,0.94,0.62,0.67,0.92,4.38,0.76,1.17,2.03,1.28,1.17,1.3,1.06,1.04
d_0,0.64,0.68,0.35,2.78,0.77,0.7,0.99,1.06,2.22,0.62,1.17,0.81,1.0,1.02,0.98,0.94
c_0,0.76,0.85,0.97,0.61,0.45,0.66,1.2,1.34,1.15,2.44,1.53,3.16,1.29,1.2,1.15,1.43
f_0,0.45,0.49,1.17,0.92,0.74,0.86,1.12,0.96,1.03,1.1,2.95,1.19,1.0,3.86,1.36,1.28
b_0,0.71,0.84,0.83,0.85,0.45,0.62,1.16,1.18,1.02,0.98,1.44,2.88,1.46,1.22,1.3,3.11
h_0,0.75,1.3,0.93,0.75,0.59,0.66,0.75,1.71,0.99,0.8,1.21,0.98,0.77,1.06,1.67,1.13
e_0,0.39,0.75,1.06,0.93,0.71,0.93,1.31,1.41,1.11,1.08,1.01,1.12,1.27,4.28,1.26,1.04
g_0,0.57,0.64,1.74,0.73,0.6,0.71,1.22,0.88,0.79,1.14,2.38,1.23,0.97,1.57,1.04,0.99
a_0,0.65,0.85,1.13,0.87,0.59,0.5,1.25,1.42,0.82,1.01,1.09,1.32,1.54,1.29,1.04,3.47
