,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.1,2.74,2.52,2.95,3.34,2.77,0.64,0.62,0.57,1.05,0.56,0.89,0.32,0.56,0.63,0.52
e_1,1.73,1.1,3.24,3.05,3.41,3.35,0.89,0.65,0.62,0.91,0.58,0.8,0.44,0.63,1.11,0.5
d_1,3.42,3.96,1.1,3.87,3.26,2.82,0.79,1.16,0.64,0.51,0.63,0.58,0.42,0.53,0.59,0.29
c_1,3.34,2.68,4.02,1.11,3.51,3.2,0.97,0.4,1.15,0.92,0.7,0.66,0.49,0.6,0.64,0.53
b_1,3.83,3.76,3.94,2.07,1.11,3.32,1.25,0.75,0.93,1.17,1.46,0.72,0.55,0.76,0.61,0.54
a_1,6.53,5.83,5.31,5.32,2.46,1.13,1.86,1.42,1.11,1.76,1.47,1.2,0.79,2.55,1.18,0.84
h_1,14.82,11.17,13.2,12.28,10.89,9.53,1.64,2.47,2.52,3.38,2.79,2.37,2.21,2.34,2.46,1.58
d_0,12.7,8.48,23.7,18.0,13.98,11.71,4.28,2.02,3.47,4.1,3.43,3.34,2.22,2.69,3.24,2.16
c_0,15.19,17.92,7.71,20.54,16.3,12.86,4.17,6.04,1.92,4.22,3.39,2.73,1.98,2.82,2.52,1.99
g_1,18.72,17.16,17.55,17.04,15.88,14.46,3.53,3.66,3.42,1.75,3.28,3.34,1.96,2.94,3.4,2.56
b_0,18.91,16.09,12.83,28.11,25.61,15.3,4.61,4.0,1.95,5.12,1.94,3.06,2.46,2.92,3.12,2.52
f_0,32.42,19.15,17.55,21.36,20.05,15.08,5.44,4.85,4.5,3.52,3.74,2.08,2.66,3.02,3.7,1.58
h_0,23.73,22.62,19.33,27.86,21.62,18.07,9.92,5.78,4.53,5.9,4.88,4.82,5.53,4.41,3.82,3.39
a_0,27.1,21.55,24.23,30.51,37.63,47.64,8.34,6.2,5.23,7.41,2.87,5.75,4.26,2.41,5.67,3.7
e_0,48.41,33.52,23.03,25.84,29.03,20.15,7.33,6.62,4.96,5.78,5.02,2.64,4.09,5.55,2.28,3.7
g_0,35.25,28.28,26.61,31.41,28.49,21.61,5.94,7.4,5.88,10.32,6.16,6.12,3.27,5.29,6.54,5.55
