,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.79,1.09,1.39,1.68,3.75,23.76,33.91,40.79,40.23,43.57,51.93,74.62,116.59,115.2,140.97
f_1,1.27,1.0,1.02,1.09,1.31,2.35,13.56,23.06,25.66,26.09,38.02,38.13,59.81,69.74,101.2,66.39
d_1,0.92,0.98,1.0,0.91,1.16,2.73,18.19,28.43,21.2,39.95,47.31,37.65,67.23,72.91,70.99,82.52
c_1,0.72,0.92,1.1,1.0,1.58,2.68,18.26,15.42,29.28,21.98,29.19,32.44,58.58,74.3,83.75,88.96
b_1,0.59,0.76,0.86,0.63,1.0,2.85,15.57,17.26,23.55,25.03,31.72,34.34,49.38,60.87,73.17,103.76
a_1,0.27,0.43,0.37,0.37,0.35,1.0,5.87,8.45,13.84,10.84,16.82,16.59,27.01,30.66,28.49,36.32
h_1,0.04,0.07,0.06,0.06,0.06,0.16,1.0,1.48,2.0,1.45,1.8,2.04,3.87,4.41,7.61,6.25
d_0,0.03,0.04,0.04,0.06,0.06,0.12,0.7,1.0,1.11,1.14,1.79,1.78,3.29,3.04,3.82,4.7
g_1,0.02,0.04,0.05,0.03,0.04,0.07,0.5,0.84,1.0,0.99,1.36,1.59,1.89,2.38,3.53,4.32
c_0,0.03,0.04,0.03,0.05,0.04,0.09,0.7,0.88,1.02,1.0,1.95,1.3,2.48,2.76,3.31,3.16
b_0,0.02,0.03,0.02,0.03,0.03,0.05,0.55,0.53,0.75,0.51,1.0,1.1,1.79,3.03,2.16,2.19
f_0,0.02,0.03,0.03,0.03,0.03,0.06,0.49,0.61,0.61,0.77,0.93,1.0,1.85,1.71,2.11,3.47
h_0,0.01,0.02,0.01,0.02,0.02,0.04,0.25,0.32,0.53,0.4,0.55,0.53,1.0,1.06,1.42,1.62
a_0,0.01,0.01,0.01,0.01,0.02,,0.23,0.34,0.43,0.37,0.31,0.52,0.99,1.0,1.4,1.28
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.27,0.3,0.31,0.44,0.48,0.7,0.73,1.0,1.15
e_0,0.01,0.02,0.01,0.01,0.01,0.03,0.17,0.2,0.26,0.32,0.49,0.26,0.58,0.76,0.89,1.0
