,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.72,1.3,1.18,1.74,1.16,1.28,4.79,4.61,11.36,6.55,6.35,5.82,7.76,10.13,2.8,7.23
f_1,2.29,5.94,1.19,1.25,1.08,1.17,4.18,3.44,5.4,5.38,5.92,2.11,5.32,7.72,4.47,8.58
d_1,1.1,1.39,6.49,1.03,1.19,1.2,5.36,4.99,3.33,11.94,7.47,7.32,6.67,9.09,7.47,11.79
c_1,1.19,1.12,1.37,6.7,2.54,1.03,4.57,4.65,5.5,2.14,3.96,5.32,6.36,7.74,6.47,8.28
b_1,1.22,1.47,1.29,1.16,7.57,2.47,4.04,5.43,5.41,3.54,2.07,6.22,4.59,10.4,5.94,9.3
a_1,1.16,1.38,1.25,1.26,1.37,11.09,5.06,5.13,5.1,6.42,6.39,6.73,4.15,10.9,8.06,8.9
h_1,1.25,2.26,1.62,1.68,1.56,1.27,16.05,7.59,6.15,6.48,7.19,7.82,7.55,5.94,8.49,15.11
g_1,1.51,1.14,2.49,1.78,1.39,1.01,5.91,18.62,7.48,6.88,6.58,12.11,8.15,13.0,7.83,5.84
d_0,1.68,1.46,0.85,2.96,1.55,1.45,5.9,5.4,14.91,5.6,6.99,7.88,7.56,10.95,8.82,10.38
c_0,1.58,1.6,1.84,1.14,1.27,1.41,5.9,5.68,8.1,16.36,16.08,10.7,10.22,14.39,8.88,12.24
b_0,1.76,1.76,1.62,1.6,0.86,1.19,6.01,5.48,8.16,8.29,18.25,9.53,18.4,12.93,8.58,10.87
f_0,1.28,0.84,1.75,1.7,1.32,2.44,5.08,5.4,9.79,9.07,7.41,21.4,9.78,14.95,19.23,12.94
a_0,1.64,1.76,1.69,1.51,1.79,0.68,6.39,5.46,7.08,8.04,8.71,10.12,19.22,12.06,11.7,13.47
h_0,1.53,2.36,1.73,1.79,1.55,1.41,3.27,5.96,6.75,6.67,7.1,6.67,6.96,6.04,9.99,15.7
e_0,1.02,1.8,1.58,1.86,1.45,1.73,7.47,6.01,6.78,7.14,7.61,8.39,7.61,11.05,24.77,14.53
g_0,1.2,1.59,2.98,1.64,1.23,1.21,5.31,3.93,6.32,8.8,7.12,13.72,6.99,11.11,9.76,7.74
