,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.17,0.39,0.64,0.83,0.79,0.63,0.2,0.15,0.22,0.15,0.14,0.18,0.1,0.14,0.1,0.35
f_1,0.63,0.16,0.6,0.66,0.72,0.54,0.14,0.13,0.21,0.12,0.15,0.22,0.07,0.12,0.13,0.13
d_1,0.66,0.65,0.16,0.81,0.67,0.76,0.19,0.33,0.11,0.13,0.13,0.14,0.09,0.13,0.06,0.12
c_1,0.57,0.71,0.86,0.15,0.61,0.59,0.21,0.07,0.2,0.24,0.14,0.12,0.09,0.12,0.1,0.09
b_1,0.74,0.78,0.79,0.32,0.13,0.64,0.24,0.14,0.2,0.23,0.33,0.14,0.1,0.14,0.11,0.14
a_1,0.65,0.93,0.78,0.68,0.31,0.1,0.16,0.16,0.31,0.15,0.16,0.14,0.13,0.42,0.1,0.11
h_1,0.52,0.56,0.5,0.51,0.48,0.5,0.06,0.12,0.16,0.1,0.11,0.1,0.13,0.1,0.09,0.12
d_0,0.32,0.51,1.18,0.47,0.55,0.52,0.16,0.06,0.17,0.14,0.1,0.11,0.08,0.12,0.09,0.12
g_1,0.62,0.55,0.4,0.54,0.59,0.53,0.12,0.13,0.05,0.1,0.12,0.1,0.06,0.1,0.13,0.1
c_0,0.54,0.55,0.27,0.96,0.57,0.66,0.15,0.2,0.14,0.06,0.12,0.13,0.08,0.1,0.09,0.12
b_0,0.51,0.46,0.48,0.67,0.96,0.66,0.14,0.13,0.15,0.06,0.05,0.1,0.06,0.09,0.08,0.09
f_0,0.54,1.02,0.53,0.54,0.47,0.49,0.14,0.11,0.1,0.1,0.09,0.05,0.07,0.09,0.05,0.1
h_0,0.5,0.46,0.48,0.54,0.61,0.45,0.23,0.11,0.15,0.1,0.1,0.11,0.13,0.08,0.08,0.1
a_0,0.58,0.52,0.42,0.47,0.7,1.06,0.17,0.1,0.14,0.09,0.06,0.11,0.09,0.04,0.08,0.13
g_0,0.49,0.58,0.49,0.55,0.66,0.49,0.1,0.12,0.26,0.09,0.09,0.09,0.06,0.11,0.1,0.13
e_0,0.97,0.68,0.55,0.48,0.41,0.52,0.12,0.1,0.13,0.1,0.1,0.05,0.08,0.1,0.05,0.04
