,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.38,1.15,1.04,0.94,1.18,1.03,2.56,3.97,2.15,2.07,3.07,2.59,3.21,2.73,3.1,3.32
f_1,1.05,2.45,1.81,1.06,0.92,1.01,2.14,2.15,1.95,2.7,2.42,1.28,2.68,2.32,2.74,2.06
e_1,1.16,1.01,2.48,1.3,1.22,1.17,2.02,2.23,1.92,3.81,2.57,2.75,3.13,2.49,2.93,1.51
c_1,1.26,1.08,1.02,2.7,1.95,0.97,1.59,1.21,1.91,2.0,1.61,2.18,2.95,2.15,2.84,2.76
b_1,1.19,1.18,1.03,0.84,2.8,2.08,2.35,2.42,2.1,2.09,1.92,2.82,3.09,2.19,3.12,2.56
a_1,1.19,1.41,1.06,1.28,0.79,3.29,2.29,2.45,2.35,2.27,3.0,2.83,3.5,1.67,3.52,1.98
h_1,1.14,1.51,1.24,1.57,0.97,1.06,3.98,2.53,3.48,2.39,2.44,2.89,2.59,2.81,3.91,2.55
c_0,1.12,1.28,1.24,1.28,1.09,1.23,2.67,3.85,2.88,2.87,4.77,2.75,3.53,3.7,3.79,3.07
g_1,1.66,1.26,1.09,1.36,1.09,1.06,2.05,2.4,4.35,2.05,2.35,3.61,3.14,2.55,2.92,2.77
d_0,0.83,1.27,1.1,2.2,1.4,1.12,2.42,2.16,2.54,3.91,2.91,2.6,3.35,2.51,2.87,2.31
b_0,1.12,1.44,1.17,1.65,0.93,1.22,2.62,2.22,2.68,2.53,4.13,3.23,3.64,4.91,3.38,3.02
f_0,1.4,1.12,0.97,1.54,1.28,1.1,2.31,2.83,2.64,2.79,2.54,4.32,3.53,3.69,3.09,5.32
h_0,1.33,1.67,1.21,1.35,1.24,0.98,2.0,2.54,2.85,2.71,2.49,2.69,2.6,2.75,4.14,2.79
a_0,1.38,1.4,1.23,1.43,1.18,0.78,3.06,2.47,2.5,2.82,2.26,2.62,3.92,4.85,3.81,3.11
g_0,1.81,1.14,1.13,1.39,1.11,1.05,2.26,2.73,2.29,2.51,2.61,4.06,2.99,2.74,2.78,3.36
e_0,1.16,1.65,0.92,1.22,1.27,1.39,3.02,2.84,3.05,3.22,2.53,2.3,3.41,2.88,2.84,4.87
