,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.49,2.32,1.58,1.71,1.52,1.69,2.94,2.96,3.12,3.78,3.53,3.1,3.64,4.14,2.71,4.6
e_1,1.55,2.52,1.44,1.94,1.82,1.68,3.57,3.17,3.25,5.54,3.84,4.05,3.87,4.59,3.74,4.46
d_1,1.85,1.66,2.56,1.48,1.59,1.77,3.23,3.07,5.07,3.07,4.3,4.22,4.02,4.66,3.89,4.24
c_1,1.57,1.57,1.7,2.58,2.59,1.61,2.93,2.63,2.68,2.98,2.67,3.37,3.61,4.24,3.36,4.35
b_1,1.8,1.44,1.72,1.52,2.69,2.66,3.15,3.29,3.9,3.32,3.19,3.62,3.21,5.29,3.97,4.91
a_1,1.78,1.68,1.84,1.77,1.34,3.25,3.82,3.56,3.95,3.64,4.01,3.94,3.57,4.97,4.18,5.06
h_1,2.06,1.67,2.0,1.67,1.59,1.46,4.47,4.13,3.59,3.42,3.88,3.77,3.82,3.99,3.7,5.74
g_1,1.77,1.52,2.23,1.79,1.64,1.61,2.86,4.84,3.34,2.96,3.49,4.94,3.93,4.28,4.48,4.28
c_0,1.86,1.72,1.83,1.72,1.37,1.68,3.71,3.75,4.62,4.09,5.84,4.3,4.94,4.88,4.39,5.06
d_0,1.66,1.51,1.56,2.6,1.97,1.58,3.49,3.53,2.66,4.5,3.35,3.73,3.96,4.58,3.68,4.87
b_0,1.89,1.8,1.86,1.88,1.39,1.32,3.42,3.76,3.27,3.66,4.89,4.17,6.68,5.32,4.02,4.33
f_0,1.71,1.5,1.88,1.92,1.71,1.68,3.53,3.39,3.9,3.57,3.8,5.03,4.09,5.15,6.64,4.28
a_0,1.92,1.57,1.87,1.76,1.92,1.38,4.04,3.49,3.43,3.49,3.49,4.11,5.36,5.35,4.18,4.75
h_0,2.17,1.67,1.91,1.68,1.47,1.81,2.87,4.29,3.47,3.34,3.61,3.57,3.54,4.06,3.78,5.61
e_0,2.11,1.22,1.99,1.86,1.6,1.87,3.73,3.41,3.57,3.69,3.88,3.21,3.92,4.48,5.71,5.1
g_0,1.6,1.52,2.39,1.73,1.64,1.66,3.21,3.47,3.71,2.93,3.88,5.12,4.26,4.13,4.31,4.43
