,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.93,0.15,0.09,0.1,0.09,0.07,0.08,0.06,0.06,0.06,0.06,,0.06,0.05,0.03,0.04
e_1,0.11,0.93,0.11,0.1,0.08,0.05,0.06,0.07,0.07,0.1,0.07,0.06,0.05,0.05,,0.03
d_1,0.12,0.1,0.93,0.14,0.07,0.07,0.07,0.06,0.09,,0.05,0.05,0.06,0.04,0.04,0.05
c_1,0.12,0.1,0.07,0.93,0.16,0.07,0.08,0.07,,0.04,0.07,0.06,0.07,0.04,0.05,0.06
b_1,0.11,0.11,0.13,0.08,0.93,0.1,0.11,0.07,0.07,0.07,,0.06,0.06,0.04,0.04,0.04
a_1,0.11,0.13,0.13,0.12,0.1,0.93,0.09,0.06,0.07,0.09,,,0.07,,,0.07
h_1,0.37,0.31,0.27,0.27,0.23,0.19,0.71,0.18,0.18,0.18,0.16,0.14,,0.15,0.12,0.17
g_1,0.26,0.3,0.42,0.19,0.21,0.21,0.2,0.71,0.23,0.19,0.14,0.21,0.18,0.13,0.18,
c_0,0.37,0.39,0.31,,0.27,0.26,0.24,0.17,0.59,0.22,0.36,0.2,0.19,0.16,0.13,0.16
d_0,0.46,0.31,,0.59,0.3,0.22,0.25,0.19,0.23,0.57,0.2,0.18,0.19,0.18,0.11,0.19
b_0,0.4,0.31,0.4,0.28,,,0.29,0.22,0.2,0.27,0.58,0.15,0.26,0.27,0.15,0.22
f_0,,0.36,0.43,0.31,0.38,,0.23,0.19,0.22,0.28,0.28,0.59,0.17,0.14,0.26,0.15
h_0,0.64,0.48,0.55,0.4,0.48,0.25,,0.34,0.3,0.3,0.19,0.29,,0.19,0.19,0.33
a_0,0.42,0.49,0.48,0.38,0.29,,0.27,0.26,0.2,0.25,0.18,0.25,0.3,0.57,,0.14
e_0,0.57,,0.35,0.41,0.32,,0.28,0.2,0.31,0.21,0.2,0.21,0.32,,0.59,0.18
g_0,0.5,0.54,0.74,0.39,0.45,0.29,0.34,,0.34,0.32,0.2,0.5,0.21,0.25,0.21,
