,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.03,1.22,0.68,0.77,0.68,0.55,0.86,0.8,0.9,0.94,0.98,0.66,0.97,0.9,0.67,0.9
e_1,0.79,2.08,0.97,0.65,0.71,0.65,0.96,0.97,1.69,0.93,1.07,0.95,0.97,0.94,0.63,1.03
c_1,0.73,0.65,2.21,0.81,1.25,0.71,0.9,0.94,0.89,0.43,0.7,0.98,1.04,0.87,1.05,0.98
d_1,0.81,0.74,0.58,2.26,0.75,0.68,0.98,0.92,0.55,1.69,1.25,1.0,1.01,1.17,1.07,0.98
b_1,0.77,0.7,0.8,0.68,2.45,1.45,0.98,0.93,0.93,0.92,0.54,0.99,0.85,0.88,1.08,0.96
a_1,0.82,0.8,0.74,0.91,0.67,3.48,1.02,0.95,0.89,1.02,1.01,0.98,0.96,0.69,0.96,0.72
h_1,1.05,0.77,0.8,0.96,0.8,0.66,2.0,1.35,0.93,1.04,1.0,0.97,0.8,1.03,1.11,1.58
g_1,0.76,0.57,0.86,1.37,0.72,0.77,0.96,2.46,0.89,1.02,1.06,1.71,1.07,1.19,1.52,0.9
d_0,0.76,0.76,1.58,0.57,0.89,0.75,0.98,0.98,1.55,0.66,1.04,1.06,1.15,0.83,1.15,1.22
c_0,1.01,0.81,0.69,0.93,0.61,0.91,1.17,1.0,1.01,1.63,2.04,1.09,1.17,1.31,1.18,1.0
b_0,1.01,0.84,0.94,0.91,0.5,0.75,1.07,1.07,0.97,1.07,1.91,0.98,1.28,2.14,1.07,1.16
f_0,0.69,0.67,1.04,0.86,0.8,0.94,1.28,1.16,1.19,1.05,0.92,2.09,1.26,0.76,2.44,1.25
h_0,1.13,0.87,0.84,0.89,0.76,0.75,0.62,1.42,0.94,0.99,1.0,1.2,0.92,1.16,0.94,1.49
a_0,0.9,0.92,0.85,0.88,0.83,0.73,1.13,0.84,0.76,1.07,1.17,0.99,1.2,2.32,0.85,1.1
e_0,0.96,0.55,0.87,0.81,0.94,0.9,1.1,1.26,1.08,0.89,1.07,1.36,1.32,1.06,2.49,1.28
g_0,0.75,0.68,0.87,1.25,0.85,0.79,0.99,1.0,0.84,1.12,0.99,1.61,1.18,1.04,1.25,0.79
