,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.69,1.0,1.37,1.02,1.02,1.25,1.43,1.03,0.88,1.18,1.2,1.04,1.21,0.92,1.12
f_1,1.44,1.0,0.87,0.87,0.92,0.78,0.81,0.99,1.02,1.02,0.95,0.8,0.88,0.74,1.14,0.99
d_1,1.0,1.15,1.0,0.93,0.98,0.91,0.99,0.96,0.88,1.29,0.98,1.08,0.98,1.04,0.92,0.78
c_1,0.74,1.13,1.08,1.0,1.41,0.96,0.99,0.71,0.9,0.78,0.97,0.82,1.05,0.93,0.84,1.09
b_1,0.97,1.11,1.02,0.71,1.0,1.57,1.03,1.0,0.96,1.12,0.96,1.17,1.1,1.04,0.9,1.07
a_1,0.97,1.28,1.09,1.05,0.64,1.0,1.04,1.11,1.11,0.88,0.89,1.27,1.16,1.2,1.25,1.08
h_1,0.85,1.2,1.02,0.98,0.96,0.92,1.0,0.89,1.22,0.93,0.98,0.95,0.89,0.95,0.95,1.23
d_0,0.69,0.99,1.06,1.4,1.02,0.95,1.09,1.0,1.15,0.79,1.08,1.07,0.97,1.05,1.13,1.08
g_1,0.96,0.97,1.15,1.11,1.09,0.95,0.83,0.83,1.0,0.97,1.26,0.84,0.82,0.91,0.91,0.97
c_0,1.11,0.97,0.79,1.14,0.8,1.24,1.13,1.24,1.04,1.0,1.07,1.35,1.0,0.94,1.02,1.03
f_0,0.81,1.06,1.06,1.12,1.02,1.04,1.03,0.96,0.87,0.91,1.0,1.04,0.95,1.49,1.11,0.78
b_0,0.86,1.14,0.88,1.3,0.81,0.77,1.03,0.9,1.2,0.7,0.93,1.0,1.0,1.16,1.48,1.07
h_0,0.97,1.12,1.01,0.97,0.87,0.86,1.09,1.01,1.2,0.98,1.03,1.02,1.0,0.86,0.95,1.11
e_0,0.84,1.32,0.94,1.07,0.86,0.85,1.12,0.99,1.1,1.06,0.65,0.89,1.18,1.0,1.25,1.04
a_0,1.12,0.9,1.06,1.17,1.1,0.78,1.03,0.94,1.07,1.05,0.86,0.7,1.06,0.76,1.0,0.91
g_0,0.92,1.01,1.32,0.93,0.95,0.99,0.8,0.9,1.09,1.04,1.28,0.91,0.9,0.93,1.1,1.0
