,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.06,2.04,1.7,1.96,2.14,1.55,0.58,0.56,0.77,0.52,0.58,0.66,0.35,0.44,0.45,0.49
e_1,1.5,1.06,1.96,2.24,1.78,1.84,0.93,0.76,0.83,0.72,0.52,0.67,0.5,0.57,0.98,0.53
d_1,2.51,2.41,1.06,2.08,1.83,1.7,0.76,1.06,0.55,0.73,0.57,0.48,0.52,0.5,0.53,0.31
c_1,2.15,1.98,3.11,1.06,2.41,1.8,0.89,0.43,0.81,0.83,0.6,0.62,0.53,0.55,0.58,0.49
b_1,2.55,3.06,2.76,1.58,1.07,2.82,1.13,0.82,0.89,0.83,1.2,0.58,0.57,0.59,0.52,0.5
a_1,4.01,3.23,3.3,3.88,1.68,1.07,1.42,1.11,1.23,1.05,1.22,1.01,0.7,1.6,1.04,0.8
h_1,5.84,5.15,5.23,5.16,4.87,4.31,1.31,1.68,2.37,1.49,1.42,1.46,1.53,1.24,1.33,1.12
d_0,6.49,3.99,8.56,7.11,6.64,5.48,2.51,1.49,2.34,2.03,1.61,1.9,1.43,1.75,1.56,1.59
g_1,6.66,6.63,7.23,6.98,6.5,4.9,1.77,2.26,1.34,1.53,1.71,1.79,1.21,1.82,1.45,1.37
c_0,7.92,6.81,4.02,10.18,6.98,5.5,2.74,2.63,2.78,1.46,2.19,1.9,1.55,1.69,1.63,1.45
b_0,8.08,8.48,7.13,9.09,11.39,5.71,3.12,2.7,2.47,1.45,1.56,2.19,1.62,2.38,1.97,1.48
f_0,12.56,8.6,8.88,9.03,9.69,6.07,3.65,2.55,2.05,2.49,2.35,1.58,1.88,2.07,2.4,1.22
h_0,11.65,9.71,8.2,9.38,10.59,7.22,4.31,3.02,3.87,2.71,2.68,2.2,2.54,2.47,2.29,2.26
a_0,13.18,10.03,8.46,9.97,12.29,8.38,4.22,3.59,3.49,2.6,1.67,2.46,2.2,1.63,3.17,1.92
e_0,14.09,11.12,9.25,10.51,12.63,7.56,3.62,2.93,3.5,2.67,2.44,1.54,2.02,2.57,1.56,2.24
g_0,12.38,11.16,12.87,13.54,10.26,8.18,3.59,3.24,4.84,3.15,3.1,3.2,2.18,3.06,2.37,2.67
