,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.44,1.57,1.54,2.03,1.79,1.63,3.16,3.36,3.27,5.49,3.78,4.33,4.01,4.81,3.68,4.44
f_1,2.3,2.46,1.57,1.7,1.58,1.66,2.8,3.15,3.1,3.64,3.69,2.88,3.73,4.12,2.54,4.33
d_1,1.64,1.77,2.5,1.42,1.77,1.62,3.25,3.23,5.31,3.16,4.01,3.76,3.78,4.57,4.01,4.48
c_1,1.56,1.62,1.8,2.71,2.49,1.75,3.1,2.75,2.64,2.96,3.18,3.66,3.5,4.14,3.59,4.73
b_1,1.52,1.7,1.62,1.48,2.84,2.88,3.66,3.26,3.47,3.34,2.86,3.87,3.08,4.71,3.86,4.39
a_1,1.7,1.7,1.7,1.82,1.43,3.36,3.49,3.49,3.77,3.67,3.88,3.77,3.58,5.18,3.69,4.69
h_1,1.67,2.17,1.88,1.71,1.29,1.55,4.19,3.99,3.81,3.33,3.72,3.86,3.78,4.32,3.84,5.55
g_1,1.6,1.71,2.16,1.92,1.63,1.51,2.98,4.47,3.85,3.71,3.8,4.78,3.78,4.69,4.43,4.47
c_0,1.81,1.89,1.69,1.73,1.67,1.43,3.49,3.5,4.61,3.88,5.63,4.11,4.55,4.84,4.64,4.96
d_0,1.5,1.75,1.47,2.94,1.85,1.51,3.29,3.32,2.71,4.51,3.62,3.84,3.96,4.81,4.18,4.84
b_0,1.67,1.9,1.8,1.86,1.55,1.36,3.67,3.49,3.32,3.63,4.77,3.77,6.48,5.3,4.19,4.9
f_0,1.46,1.9,1.86,1.83,1.68,1.73,3.54,3.35,3.72,3.74,4.55,4.88,4.49,5.22,7.55,5.11
a_0,1.67,1.9,1.71,1.91,1.84,1.5,3.73,3.45,3.93,3.45,3.63,4.24,5.1,5.31,4.12,4.18
h_0,1.58,2.1,1.9,1.84,1.84,1.42,3.1,3.87,3.53,3.49,3.48,3.59,4.02,4.0,3.86,5.38
e_0,1.6,2.21,1.66,1.66,1.87,1.88,3.66,3.32,3.69,3.16,4.12,3.08,4.42,5.22,5.89,4.98
g_0,1.48,1.74,2.13,1.65,1.76,1.58,3.2,3.17,3.88,2.9,4.13,4.98,4.73,4.62,4.32,4.75
