,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.94,0.29,0.25,0.28,0.19,0.17,0.2,0.17,0.31,0.2,0.19,0.17,0.14,0.17,0.13,0.09
f_1,0.43,0.93,0.31,0.27,0.2,0.18,0.2,0.19,0.17,0.15,0.19,0.09,0.14,0.12,0.15,0.08
d_1,0.31,0.3,0.94,0.25,0.25,0.19,0.22,0.16,0.08,0.3,0.2,0.15,0.14,0.18,0.12,0.09
c_1,0.31,0.33,0.27,0.94,0.41,0.13,0.19,0.17,0.15,0.07,0.13,0.16,0.13,0.19,0.14,0.13
b_1,0.37,0.36,0.32,0.24,0.93,0.29,0.18,0.17,0.18,0.16,0.05,0.22,0.13,0.18,0.12,0.11
a_1,0.32,0.32,0.35,0.41,0.25,0.93,0.29,0.2,0.23,0.24,0.2,0.16,0.08,0.23,0.15,0.18
h_1,0.55,0.68,0.48,0.55,0.49,0.22,0.73,0.38,0.34,0.33,0.35,0.32,0.23,0.22,0.32,0.25
g_1,0.56,0.39,0.77,0.63,0.46,0.36,0.39,0.72,0.29,0.34,0.29,0.44,0.22,0.23,0.18,0.23
d_0,0.47,0.61,0.43,1.0,0.46,0.33,0.39,0.4,0.62,0.32,0.34,0.36,0.21,0.34,0.27,0.25
c_0,0.6,0.74,0.57,0.41,0.43,0.39,0.37,0.38,0.36,0.62,0.55,0.42,0.31,0.36,0.32,0.21
b_0,0.56,0.67,0.51,0.64,0.34,0.44,0.39,0.45,0.4,0.32,0.63,0.4,0.46,0.4,0.33,0.23
f_0,0.53,0.39,0.69,0.68,0.38,0.42,0.5,0.41,0.43,0.33,0.38,0.61,0.34,0.46,0.26,0.47
a_0,0.59,0.72,0.8,0.67,0.5,,0.53,0.46,0.49,0.37,0.38,0.36,0.62,0.28,0.35,0.33
h_0,0.56,0.97,0.68,0.6,0.54,0.39,0.25,0.51,0.37,0.4,0.34,0.26,0.38,0.23,0.4,0.23
g_0,0.73,0.57,0.96,0.58,0.63,0.44,0.36,0.37,0.47,0.42,0.36,0.6,0.33,0.4,0.24,0.27
e_0,0.26,0.98,0.73,0.72,0.74,0.4,0.44,0.46,0.5,0.47,0.44,0.33,0.25,0.46,0.33,0.57
