,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.18,0.65,0.77,0.82,0.82,0.9,0.17,0.14,0.23,0.15,0.13,0.31,0.07,0.15,0.14,0.14
e_1,0.41,0.17,0.88,0.98,0.89,0.75,0.25,0.17,0.25,0.18,0.17,0.23,0.13,0.18,0.12,0.39
d_1,0.97,0.99,0.16,0.73,0.68,0.71,0.19,0.16,0.15,0.41,0.18,0.15,0.11,0.12,0.07,0.14
c_1,0.89,0.65,0.85,0.15,0.67,0.7,0.26,0.31,0.22,0.09,0.15,0.14,0.11,0.16,0.12,0.13
b_1,0.98,0.88,0.7,0.39,0.13,0.83,0.25,0.22,0.23,0.18,0.55,0.16,0.16,0.16,0.12,0.14
a_1,0.7,1.06,1.0,0.75,0.39,0.09,0.2,0.19,0.26,0.21,0.19,0.16,0.12,0.37,0.15,0.17
h_1,0.74,0.57,0.56,0.61,0.6,0.6,0.06,0.12,0.18,0.13,0.15,0.12,0.18,0.13,0.09,0.14
c_0,0.69,0.65,0.31,1.4,0.72,0.58,0.2,0.07,0.17,0.21,0.13,0.12,0.09,0.14,0.09,0.1
g_1,0.67,0.63,0.65,0.7,0.77,0.5,0.13,0.09,0.05,0.12,0.13,0.11,0.06,0.14,0.12,0.15
d_0,0.68,0.31,1.48,0.66,0.67,0.66,0.17,0.12,0.21,0.06,0.12,0.13,0.1,0.11,0.09,0.12
b_0,0.6,0.57,0.55,0.92,1.43,0.49,0.16,0.06,0.18,0.12,0.05,0.11,0.09,0.14,0.09,0.13
f_0,1.31,0.57,0.56,0.67,0.56,0.53,0.19,0.11,0.11,0.12,0.11,0.05,0.09,0.14,0.05,0.11
h_0,0.58,0.57,0.59,0.55,0.61,0.49,0.33,0.12,0.2,0.13,0.11,0.12,0.13,0.11,0.09,0.1
a_0,0.71,0.49,0.61,0.73,0.66,1.08,0.23,0.11,0.17,0.11,0.06,0.11,0.1,0.04,0.11,0.14
g_0,0.6,0.59,0.62,0.57,0.71,0.57,0.11,0.14,0.34,0.1,0.11,0.16,0.08,0.11,0.15,0.11
e_0,0.95,1.03,0.46,0.63,0.61,0.6,0.19,0.11,0.16,0.1,0.15,0.05,0.12,0.12,0.06,0.04
