,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.94,0.41,0.48,0.41,0.33,0.34,0.26,0.22,0.41,0.26,0.24,0.21,0.2,0.22,0.12,0.22
f_1,0.68,0.94,0.45,0.37,0.34,0.24,0.21,0.24,0.27,0.28,0.25,0.12,0.17,0.22,0.15,0.19
c_1,0.38,0.41,0.94,0.4,0.61,0.28,0.3,0.25,0.23,0.22,0.13,0.27,0.2,0.23,0.18,0.22
d_1,0.4,0.44,0.38,0.94,0.4,0.3,0.33,0.26,0.23,0.32,0.42,0.25,0.19,0.21,0.21,0.16
b_1,0.47,0.47,0.36,0.4,0.94,0.56,0.31,0.22,0.24,0.16,0.29,0.21,0.17,0.28,0.18,0.25
a_1,0.48,0.54,0.48,0.5,0.33,0.94,0.44,0.31,0.3,0.31,0.27,0.26,0.19,0.3,0.21,0.23
h_1,0.67,0.92,0.54,0.63,0.63,0.33,0.76,0.48,0.42,0.4,0.4,0.32,0.29,0.29,0.34,0.44
g_1,0.72,0.66,0.64,0.92,0.57,0.38,0.42,0.75,0.39,0.43,0.37,0.54,0.25,0.33,0.34,0.27
d_0,0.62,0.73,1.16,0.4,0.72,0.46,0.44,0.39,0.65,0.49,0.33,0.39,0.33,0.44,0.34,0.33
b_0,0.8,0.71,0.76,0.72,0.39,0.45,0.5,0.43,0.4,0.67,0.43,0.45,0.61,0.44,0.33,0.34
c_0,0.85,0.75,0.62,0.67,0.46,0.56,0.49,0.43,0.53,0.75,0.65,0.42,0.38,0.44,0.37,0.35
f_0,0.69,0.54,0.76,0.73,0.77,0.5,0.53,0.41,0.48,0.48,0.43,0.67,0.41,0.46,0.61,0.31
a_0,0.81,0.84,0.76,0.86,0.86,0.33,0.49,0.46,0.53,0.46,0.46,0.4,0.63,0.57,0.35,0.43
h_0,0.87,1.07,0.82,0.86,0.6,0.49,0.39,0.61,0.42,0.47,0.45,0.43,0.35,0.32,0.27,0.44
e_0,0.76,1.02,0.86,0.74,0.69,0.49,0.5,0.43,0.5,0.58,0.5,0.44,0.48,0.57,0.6,0.47
g_0,0.93,0.72,0.76,1.19,0.67,0.56,0.44,0.33,0.5,0.64,0.51,0.67,0.41,0.42,0.36,0.36
