,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,6.21,1.73,2.42,2.93,2.16,2.25,8.79,7.16,9.47,18.61,10.62,11.12,15.73,10.16,6.98,14.32
d_1,2.31,6.35,2.25,1.78,2.03,2.18,9.16,8.46,19.4,5.1,11.88,12.66,16.09,13.35,12.36,17.4
f_1,3.79,2.13,6.36,1.99,1.82,1.86,8.12,7.92,9.8,10.26,6.47,10.4,13.09,12.37,6.82,14.47
c_1,1.73,2.08,2.33,6.97,4.12,2.24,7.65,6.54,5.85,9.28,10.04,6.6,16.7,8.54,10.79,17.29
b_1,1.98,2.02,2.14,2.24,7.27,4.61,7.85,8.22,7.36,9.94,9.55,5.64,17.75,8.29,11.72,16.23
a_1,2.26,2.47,2.31,2.55,2.09,10.12,7.23,9.0,7.95,10.55,10.22,11.82,14.92,7.75,13.96,13.64
h_1,2.21,2.65,3.3,2.52,2.26,2.03,16.61,11.2,10.65,10.2,11.77,13.24,13.03,10.71,12.11,22.82
g_1,2.12,3.86,2.23,1.96,2.13,2.57,9.16,20.9,13.06,9.48,17.96,14.07,15.41,11.1,13.96,15.13
c_0,2.44,3.07,2.75,1.59,2.08,2.33,10.44,10.23,19.15,10.86,12.75,24.29,16.25,16.72,12.0,19.41
d_0,2.14,1.64,2.57,4.81,2.66,2.1,8.77,7.43,6.81,19.83,10.81,10.67,17.71,11.45,10.87,17.14
f_0,1.9,2.56,2.31,2.47,2.77,2.23,10.18,11.46,12.82,11.02,22.06,13.87,20.25,12.27,27.77,20.07
b_0,2.29,3.16,2.79,2.7,1.61,1.5,9.5,9.21,11.25,10.45,12.26,22.45,20.48,27.71,13.14,19.48
h_0,2.06,2.7,3.35,2.89,2.3,2.49,6.35,13.16,9.89,11.19,11.14,12.52,13.26,13.06,11.85,25.68
a_0,2.12,2.76,2.91,2.69,2.27,1.57,10.09,9.71,11.72,11.55,12.38,14.45,21.76,27.8,14.06,22.77
e_0,1.77,2.78,2.89,2.43,2.36,2.48,10.71,9.8,12.28,10.28,12.6,13.97,21.91,12.18,28.43,21.04
g_0,1.88,3.81,2.1,2.93,2.4,2.45,8.37,7.09,10.95,9.21,17.12,13.34,17.56,10.52,14.14,12.76
