,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.39,0.68,0.65,0.91,0.79,0.55,1.6,1.5,1.59,3.02,1.91,1.9,2.39,1.05,2.41,1.95
f_1,1.2,2.4,0.75,0.73,0.67,0.7,1.32,1.51,1.73,1.56,0.71,1.68,2.1,1.37,1.87,1.45
d_1,0.74,0.84,2.51,0.73,0.77,0.8,1.49,1.25,2.72,0.78,1.58,1.93,2.19,1.64,1.93,1.26
c_1,0.65,0.88,0.76,2.58,1.25,0.77,1.57,1.45,0.57,1.47,1.51,1.49,2.34,1.53,2.14,1.7
b_1,0.74,0.8,0.72,0.6,2.82,1.18,1.56,1.55,1.76,1.63,1.84,0.74,2.11,2.05,1.94,1.85
a_1,0.92,0.77,0.86,0.75,0.71,3.17,1.67,1.38,1.75,1.43,1.67,1.46,1.82,1.65,2.0,0.69
h_1,0.91,1.34,0.95,1.0,0.95,0.9,3.9,2.72,2.12,2.29,2.18,2.1,1.41,2.28,2.94,2.29
g_1,1.03,0.98,1.48,0.83,0.76,1.08,1.57,4.32,2.1,1.8,3.14,2.2,2.01,2.03,1.65,2.32
c_0,1.16,0.99,1.09,0.77,0.88,1.14,1.81,2.1,3.73,2.26,2.83,3.64,2.89,2.64,2.92,2.75
d_0,0.79,1.05,0.55,1.84,1.07,1.11,1.84,1.87,1.99,3.62,2.4,2.1,2.35,2.42,2.83,2.6
f_0,0.95,0.73,0.92,1.26,1.0,1.06,2.19,1.65,1.97,2.54,4.03,2.52,2.36,4.24,2.94,2.54
b_0,0.95,0.98,1.12,1.17,0.68,0.94,2.03,2.08,1.92,2.36,2.4,4.13,2.77,2.87,3.07,4.28
h_0,0.87,1.2,1.12,1.13,0.92,1.16,1.29,2.43,2.05,2.49,2.25,2.13,1.7,2.03,3.44,2.17
e_0,0.44,1.24,1.23,1.3,0.98,1.05,2.13,2.27,2.22,2.13,2.14,1.9,2.95,4.82,2.25,2.07
g_0,0.79,0.86,1.55,1.03,0.99,0.86,1.76,1.53,2.16,2.26,3.09,2.12,2.47,3.1,2.07,1.99
a_0,0.94,1.2,1.51,1.11,0.91,0.6,1.96,1.92,1.93,2.32,2.34,2.01,2.66,2.02,3.0,4.91
