,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.56,1.18,1.05,0.81,0.92,0.85,1.18,0.98,1.73,0.99,1.31,1.15,1.23,1.15,1.09,1.02
f_1,0.91,1.55,1.46,1.01,0.85,0.77,1.1,1.38,1.11,1.08,1.08,0.97,1.16,0.96,0.74,1.17
e_1,0.88,0.94,1.57,1.23,1.03,0.83,1.19,1.92,1.17,1.14,1.11,1.12,1.39,1.09,0.91,1.26
c_1,1.16,0.99,0.86,1.58,1.46,0.82,1.16,1.02,0.98,1.02,0.88,1.1,1.27,0.97,1.06,1.11
b_1,1.08,1.12,0.91,0.95,1.63,1.5,1.26,1.23,1.16,1.06,1.06,1.13,1.32,0.86,1.08,1.18
a_1,1.17,1.25,1.14,1.14,0.77,1.74,1.29,1.16,1.23,1.21,1.39,1.21,1.52,0.97,1.06,1.27
h_1,1.28,1.57,1.26,1.21,1.12,1.04,1.87,1.29,1.39,1.52,1.34,1.44,1.36,1.05,1.22,1.68
d_0,1.13,1.18,1.04,1.92,1.42,1.17,1.58,1.8,1.19,1.41,1.43,1.44,1.66,1.29,1.28,1.65
c_0,1.25,1.42,1.29,1.24,1.02,0.98,1.63,1.64,1.86,1.49,2.2,1.52,1.74,1.71,1.31,1.52
g_1,1.74,1.22,1.09,1.27,1.25,0.97,1.35,1.28,1.5,1.96,1.51,1.94,1.51,1.09,1.4,1.29
b_0,1.42,1.46,1.22,1.44,1.13,0.87,1.66,1.51,1.44,1.52,1.92,1.46,1.91,2.07,1.45,1.52
f_0,1.55,1.31,1.18,1.38,1.39,1.05,1.47,1.37,1.69,1.39,1.57,1.93,1.78,1.35,2.37,1.47
h_0,1.51,1.64,1.24,1.32,1.26,1.06,1.4,1.53,1.54,1.85,1.51,1.53,1.63,1.41,1.37,1.92
a_0,1.39,1.53,1.41,1.51,1.45,0.82,1.83,1.56,1.56,1.79,1.54,1.53,1.85,1.98,1.4,1.67
e_0,1.44,1.62,1.32,1.39,1.44,1.13,1.52,1.63,1.71,1.48,1.56,1.43,1.91,1.47,1.97,1.85
g_0,1.95,1.31,1.2,1.34,1.39,1.2,1.47,1.3,1.79,1.42,1.56,1.96,1.59,1.41,1.52,1.46
