,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.88,0.09,0.06,0.1,0.07,0.05,0.08,0.17,0.05,0.07,0.07,0.08,0.07,0.02,0.04,0.05
f_1,0.21,0.88,0.08,0.05,0.05,0.04,0.07,0.07,0.06,0.1,0.01,0.05,0.08,0.03,0.06,0.05
d_1,0.07,0.1,0.88,0.07,0.07,0.05,0.08,0.02,0.07,0.16,0.07,0.06,0.07,0.05,0.04,0.06
c_1,0.06,0.07,0.08,0.88,0.15,0.05,0.08,0.09,0.05,0.01,0.08,0.05,0.09,0.04,0.04,0.07
b_1,0.08,0.08,0.09,0.08,0.87,0.09,0.08,0.08,0.05,0.06,0.08,0.02,0.08,0.05,0.04,0.07
a_1,0.08,0.1,0.09,0.08,0.06,0.87,0.06,0.1,0.06,0.05,0.06,0.06,0.1,0.05,0.01,0.06
h_1,0.1,0.2,0.15,0.17,0.11,0.07,0.53,0.14,0.15,0.12,0.11,0.11,0.06,0.08,0.09,0.16
d_0,0.15,0.12,0.06,0.29,0.12,0.07,0.15,0.37,0.12,0.11,0.14,0.15,0.11,0.09,0.1,0.11
g_1,0.13,0.13,0.21,0.16,0.11,0.08,0.12,0.1,0.54,0.12,0.2,0.1,0.13,0.09,0.09,0.04
c_0,0.19,0.17,0.18,0.06,0.09,0.08,0.15,0.16,0.11,0.4,0.14,0.22,0.14,0.07,0.09,0.15
f_0,0.13,0.05,0.16,0.17,0.14,0.11,0.14,0.17,0.14,0.12,0.39,0.14,0.15,0.17,0.11,0.12
b_0,0.13,0.23,0.14,0.15,0.04,0.05,0.15,0.18,0.13,0.14,0.12,0.39,0.14,0.1,0.2,0.13
h_0,0.13,0.21,0.15,0.15,0.11,0.08,0.07,0.16,0.15,0.15,0.14,0.12,0.04,0.08,0.08,0.13
e_0,0.07,0.19,0.15,0.17,0.13,0.09,0.16,0.17,0.15,0.14,0.11,0.12,0.22,0.36,0.12,0.16
a_0,0.18,0.15,0.15,0.17,0.12,0.03,0.18,0.15,0.15,0.16,0.13,0.12,0.13,0.06,0.33,0.12
g_0,0.11,0.12,0.25,0.12,0.12,0.07,0.13,0.13,0.07,0.16,0.19,0.12,0.14,0.09,0.1,0.06
