,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.44,34.0,31.36,26.12,35.75,49.99,7.37,15.46,5.81,7.26,6.43,,3.54,6.96,5.6,4.75
d_1,35.8,0.44,61.21,31.47,31.66,34.08,10.64,5.36,6.09,,7.03,6.54,3.86,6.96,6.81,3.16
e_1,16.96,50.85,0.43,44.2,31.69,,9.31,11.11,8.02,7.05,6.63,8.74,4.34,5.6,,4.61
c_1,30.06,49.69,34.9,0.42,32.9,29.68,8.27,8.32,,4.02,10.18,6.41,6.45,6.35,9.31,5.26
b_1,29.95,40.91,38.68,18.78,0.4,30.76,13.65,10.31,10.5,7.9,,7.22,4.79,10.77,10.1,5.45
a_1,67.34,45.89,,70.11,22.24,0.33,12.55,10.84,14.61,6.73,9.83,10.69,6.0,,7.76,
h_1,20.17,13.59,23.64,17.63,21.22,14.98,0.35,7.55,3.67,3.07,2.87,7.09,,4.27,3.27,3.59
g_1,39.86,18.68,23.54,20.75,24.35,19.38,4.07,0.34,3.75,4.13,4.12,4.52,2.02,4.08,3.44,
c_0,17.88,8.19,16.4,,20.9,16.26,3.46,4.75,0.49,3.93,3.15,3.6,2.38,2.9,2.72,1.8
d_0,18.96,,7.82,17.11,17.73,23.14,4.97,3.55,3.07,0.49,3.6,2.39,1.88,4.81,2.26,2.73
b_0,15.81,14.56,20.92,18.5,,21.79,5.31,4.86,2.42,2.35,0.46,3.14,2.56,5.66,3.19,1.8
f_0,,15.93,13.13,17.47,23.24,11.95,4.4,3.27,2.55,3.49,4.98,0.48,2.33,4.16,5.68,1.47
h_0,12.02,12.64,12.28,13.14,13.05,8.55,,3.57,2.32,2.89,1.94,2.18,,2.81,2.77,2.35
a_0,21.68,20.72,19.59,23.9,18.5,,5.3,6.14,4.27,4.45,2.13,3.78,4.96,0.36,,3.33
e_0,21.99,18.46,,27.78,18.81,19.58,6.5,5.95,4.82,5.75,5.09,1.74,3.03,,0.38,2.65
g_0,14.67,22.37,14.88,12.38,11.17,,2.57,,2.76,4.18,3.52,2.6,1.33,3.48,3.5,
