,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.8,2.6,1.57,1.5,1.37,1.11,4.89,6.71,5.28,6.97,6.82,3.14,11.77,7.97,10.21,5.4
e_1,1.67,5.98,1.36,1.76,1.44,1.48,5.3,13.41,5.77,6.78,8.35,8.48,11.64,7.07,12.21,5.33
d_1,1.86,1.45,6.34,1.12,1.46,1.41,5.54,2.99,6.02,14.14,8.51,7.48,11.3,9.9,10.64,8.62
c_1,1.46,1.37,1.51,6.63,2.87,1.37,5.12,5.86,5.16,2.72,5.24,8.36,9.78,7.78,10.38,7.01
b_1,1.45,1.39,1.38,1.68,7.34,3.33,5.68,7.43,5.15,6.16,3.45,6.72,8.44,5.14,10.5,7.74
a_1,1.62,1.61,1.58,1.71,1.21,11.2,7.99,7.51,6.09,6.2,8.88,6.06,12.51,4.52,9.23,8.06
h_1,2.48,1.77,2.17,2.01,1.67,1.48,16.7,6.55,8.86,6.89,9.11,7.68,8.58,7.59,17.87,9.19
d_0,1.68,1.56,0.91,3.91,2.25,2.12,7.31,16.48,5.47,5.91,9.17,9.33,11.09,7.07,15.85,12.84
g_1,1.86,1.73,3.16,1.51,1.71,1.47,6.0,7.22,20.66,10.46,8.58,15.75,15.24,10.48,8.46,9.32
c_0,2.05,2.15,2.02,1.35,1.41,1.91,6.23,8.14,7.15,17.48,19.09,10.67,16.49,11.09,14.27,10.15
b_0,1.97,1.96,2.36,2.08,1.09,1.48,7.29,8.1,6.58,9.64,17.82,8.58,16.16,19.3,13.11,11.9
f_0,1.21,1.43,2.21,2.18,2.12,1.83,7.19,10.07,7.56,9.52,11.68,19.72,15.41,11.84,12.79,24.25
h_0,2.64,1.94,2.18,1.74,1.8,1.57,4.04,7.78,8.72,8.58,9.72,7.93,7.57,9.75,17.09,9.55
a_0,1.74,2.06,2.35,2.07,1.97,1.41,7.99,7.85,6.95,7.32,9.09,9.06,12.94,23.67,17.22,7.71
g_0,1.65,1.52,3.04,2.3,1.62,1.62,7.25,8.25,4.51,8.22,10.17,14.9,11.33,9.18,9.82,10.79
e_0,1.88,0.96,1.92,2.35,2.25,2.14,7.05,8.86,6.82,8.38,11.77,10.9,19.1,9.49,15.76,28.11
