,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.67,0.89,1.54,1.47,1.46,1.13,0.75,0.72,0.66,0.62,0.59,0.57,0.52,0.46,0.85,0.43
f_1,1.58,0.66,1.34,1.57,1.19,1.3,0.47,0.62,0.45,0.45,0.72,0.47,0.4,0.29,0.39,0.46
d_1,1.43,1.63,0.65,1.34,1.49,1.35,0.65,0.49,0.52,0.87,0.44,0.48,0.45,0.38,0.56,0.27
c_1,1.33,1.38,1.85,0.63,1.65,1.56,0.68,0.55,0.57,0.35,0.5,0.46,0.55,0.48,0.5,0.42
b_1,1.5,1.88,1.52,0.96,0.62,1.84,0.81,0.7,0.7,0.61,0.64,1.12,0.6,0.52,0.46,0.53
a_1,1.93,1.84,1.69,1.81,1.05,0.57,0.86,0.93,0.68,0.91,0.68,0.75,1.26,0.58,0.7,0.63
h_1,2.02,2.55,1.86,1.97,1.97,1.85,0.59,1.27,0.78,0.78,0.75,0.74,0.72,0.86,0.73,0.72
g_1,2.18,2.56,2.45,2.3,2.11,1.9,0.79,0.56,0.82,0.73,0.92,0.78,0.79,0.52,0.77,0.88
c_0,2.1,2.86,1.55,5.07,2.49,2.14,1.13,1.06,0.63,1.02,0.84,1.14,0.99,0.77,0.92,0.78
d_0,1.6,2.55,3.02,2.97,2.6,1.81,1.16,1.3,0.89,0.63,0.79,0.89,0.93,0.9,0.88,0.74
f_0,2.5,4.08,2.43,2.57,2.47,2.08,1.23,0.86,0.88,0.94,0.59,0.81,0.97,0.77,0.97,0.51
b_0,2.38,2.78,2.23,3.34,3.67,2.17,1.02,1.23,0.5,0.89,0.95,0.59,1.0,0.81,0.7,0.71
a_0,2.81,2.88,2.67,2.87,3.49,2.79,1.24,1.3,0.82,0.94,1.0,0.6,0.56,0.91,0.72,0.77
h_0,2.58,3.29,3.39,2.91,2.35,2.06,1.44,1.19,0.87,0.86,0.96,0.94,0.94,1.03,0.81,0.82
e_0,4.13,3.82,2.48,3.05,3.42,2.15,1.19,1.69,1.02,1.05,0.57,1.02,1.08,0.96,0.56,0.71
g_0,2.96,3.16,3.18,3.15,2.89,2.54,1.06,1.43,0.91,1.11,1.21,0.99,1.05,0.72,1.03,1.0
