,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,17.66,1.19,0.45,0.48,0.5,0.49,0.79,0.68,0.83,0.94,0.88,0.31,0.78,0.71,0.77,0.87
e_1,0.66,17.64,0.45,0.79,0.42,0.51,0.95,0.83,0.72,1.81,0.91,0.99,0.95,0.8,0.49,0.98
d_1,0.52,0.48,19.38,0.34,0.55,0.58,0.83,2.35,0.93,0.44,1.28,1.13,1.18,1.1,1.19,0.96
c_1,0.44,0.43,0.46,21.58,1.36,0.37,0.74,0.23,0.8,0.67,0.72,0.83,0.96,1.01,0.92,1.06
b_1,0.54,0.42,0.68,0.38,20.89,1.27,0.88,0.8,0.86,0.82,0.31,0.87,0.92,0.63,0.81,0.99
a_1,0.56,0.5,0.57,0.64,0.42,30.51,1.1,0.81,0.66,1.14,0.81,1.11,0.99,0.48,0.78,0.95
h_1,1.15,0.62,0.7,0.68,0.49,0.75,5.14,0.98,1.45,0.88,1.21,0.97,0.56,1.52,1.02,1.61
c_0,0.82,0.65,0.79,0.41,0.49,0.69,1.16,3.31,1.55,1.17,3.25,1.51,1.51,1.58,1.26,1.12
g_1,0.47,0.6,1.48,0.67,0.67,0.58,0.9,1.38,7.0,0.72,1.07,2.03,1.11,1.03,0.98,0.5
d_0,0.68,0.79,0.37,1.84,0.56,0.55,1.34,0.82,1.0,3.05,1.24,0.95,1.29,1.19,1.15,0.92
b_0,0.87,0.62,0.77,0.84,0.27,0.47,1.27,1.3,1.2,1.07,4.23,1.31,1.4,3.68,1.42,0.93
f_0,0.36,0.47,0.79,0.86,0.7,0.56,1.25,1.48,1.23,1.17,1.48,4.2,1.58,1.98,3.98,1.28
h_0,1.18,0.65,0.83,0.74,0.59,0.45,0.62,1.12,1.65,1.15,1.0,1.16,0.63,1.05,1.45,1.57
a_0,0.75,0.66,0.81,0.98,0.63,0.21,1.18,1.11,1.42,1.28,1.39,1.44,1.45,4.39,1.53,1.12
e_0,0.66,0.26,0.72,1.03,0.74,0.71,1.25,1.44,1.65,1.2,1.45,1.41,1.38,1.3,5.5,1.69
g_0,0.49,0.62,1.34,0.81,0.55,0.63,1.16,1.1,0.89,1.25,1.54,2.46,1.08,1.09,1.42,0.57
