,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.91,0.39,0.26,0.36,0.24,0.15,0.31,0.51,0.28,0.19,0.29,0.24,0.3,0.19,0.22,0.11
f_1,0.58,0.91,0.29,0.27,0.22,0.16,0.29,0.29,0.25,0.17,0.25,0.14,0.24,0.17,0.2,0.09
d_1,0.35,0.36,0.91,0.22,0.2,0.18,0.31,0.19,0.54,0.24,0.29,0.26,0.3,0.18,0.25,0.17
c_1,0.32,0.35,0.29,0.9,0.47,0.16,0.29,0.29,0.15,0.18,0.17,0.21,0.24,0.16,0.21,0.18
b_1,0.34,0.37,0.29,0.25,0.89,0.38,0.28,0.3,0.27,0.18,0.16,0.2,0.25,0.11,0.22,0.16
a_1,0.38,0.4,0.3,0.31,0.23,0.88,0.35,0.28,0.24,0.23,0.24,0.22,0.25,0.08,0.25,0.17
h_1,0.38,0.51,0.35,0.31,0.28,0.2,0.6,0.33,0.26,0.29,0.28,0.24,0.25,0.15,0.32,0.17
d_0,0.37,0.38,0.25,0.59,0.3,0.17,0.32,0.51,0.22,0.2,0.26,0.27,0.26,0.17,0.21,0.18
c_0,0.41,0.42,0.36,0.23,0.2,0.21,0.39,0.33,0.5,0.23,0.55,0.3,0.35,0.24,0.26,0.16
g_1,0.37,0.32,0.51,0.32,0.22,0.18,0.33,0.31,0.38,0.61,0.31,0.44,0.27,0.2,0.15,0.22
b_0,0.37,0.47,0.4,0.33,0.19,0.15,0.35,0.27,0.32,0.26,0.51,0.28,0.33,0.39,0.24,0.18
f_0,0.26,0.31,0.41,0.36,0.33,0.24,0.37,0.34,0.35,0.25,0.3,0.48,0.35,0.19,0.24,0.43
h_0,0.38,0.53,0.37,0.32,0.24,0.19,0.25,0.32,0.3,0.27,0.34,0.22,0.22,0.19,0.31,0.17
a_0,0.43,0.39,0.38,0.32,0.31,0.13,0.38,0.36,0.32,0.22,0.3,0.25,0.34,0.44,0.24,0.17
g_0,0.27,0.32,0.55,0.32,0.33,0.19,0.31,0.26,0.35,0.18,0.3,0.42,0.31,0.19,0.2,0.26
e_0,0.28,0.45,0.32,0.33,0.33,0.25,0.35,0.33,0.3,0.22,0.26,0.28,0.33,0.18,0.21,0.42
