,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.65,0.76,0.82,0.98,0.6,0.47,0.55,0.44,0.41,0.36,0.42,0.4,0.37,,0.37
f_1,1.54,1.0,0.81,1.04,0.61,0.59,0.42,0.41,0.43,0.39,0.48,,0.3,0.33,0.31,0.44
d_1,1.32,1.24,1.0,0.72,1.09,0.83,0.56,,0.54,0.33,0.41,0.49,0.34,0.4,0.26,0.24
c_1,1.22,0.97,1.38,1.0,1.28,0.8,0.48,0.33,,0.48,0.46,0.4,0.44,0.31,0.36,0.32
b_1,1.02,1.65,0.91,0.78,1.0,1.47,0.58,0.57,0.53,0.66,,0.47,0.34,,0.33,0.28
a_1,1.67,1.69,1.21,1.26,0.68,1.0,0.91,0.65,0.39,0.53,0.5,,0.45,,0.56,
h_1,2.13,2.39,1.78,2.08,1.74,1.09,1.0,0.93,0.8,1.09,0.81,0.82,,0.5,0.72,0.75
d_0,1.83,2.44,,3.0,1.75,1.53,1.08,1.0,1.16,0.9,0.8,1.09,0.7,0.74,0.64,0.67
c_0,2.29,2.32,1.86,,1.9,2.59,1.25,0.86,1.0,1.11,1.23,0.77,0.82,0.59,0.61,0.73
g_1,2.45,2.56,3.03,2.09,1.52,1.9,0.92,1.11,0.9,1.0,0.94,1.06,0.72,0.66,0.69,
b_0,2.76,2.09,2.46,2.18,,1.99,1.24,1.25,0.81,1.06,1.0,0.88,0.87,,0.66,0.57
f_0,2.4,,2.06,2.48,2.15,,1.22,0.92,1.3,0.94,1.14,1.0,0.78,0.67,1.33,0.62
h_0,2.5,3.3,2.97,2.26,2.94,2.23,,1.42,1.22,1.4,1.14,1.28,,0.86,0.81,1.16
a_0,2.71,2.99,2.53,3.25,,,2.01,1.35,1.69,1.52,,1.49,1.16,1.0,,1.09
e_0,,3.27,3.86,2.81,3.04,1.77,1.39,1.56,1.65,1.45,1.52,0.75,1.23,,1.0,0.95
g_0,2.67,2.28,4.16,3.1,3.57,,1.34,1.49,1.38,,1.74,1.61,0.86,0.92,1.05,
