,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.83,1.35,1.23,1.49,3.42,18.94,33.05,29.12,30.17,40.68,48.45,76.69,89.28,126.93,154.87
f_1,1.19,1.0,1.12,0.88,1.43,2.89,14.96,25.43,25.32,28.34,35.05,36.72,63.29,62.73,87.48,118.24
c_1,0.74,0.9,1.0,1.22,1.7,2.45,17.4,13.45,19.05,26.65,29.75,32.1,56.38,60.16,90.98,101.32
d_1,0.81,1.13,0.83,1.0,1.16,2.41,13.79,18.72,28.0,18.22,26.82,30.86,59.0,61.62,78.09,73.1
b_1,0.67,0.71,0.59,0.86,1.0,3.45,13.07,17.74,18.08,19.23,22.6,28.97,46.82,52.55,62.27,88.87
a_1,0.29,0.35,0.41,0.42,0.29,1.0,5.59,6.44,7.14,8.78,10.31,15.16,39.64,26.51,38.72,35.42
h_1,0.05,0.07,0.06,0.07,0.08,0.18,1.0,1.31,1.45,1.85,1.96,2.06,4.0,4.37,6.43,8.82
d_0,0.03,0.04,0.07,0.05,0.06,0.15,0.75,1.0,1.03,1.24,1.62,1.59,2.9,3.68,4.72,5.11
c_0,0.04,0.04,0.05,0.04,0.05,0.14,0.67,1.0,1.0,1.14,1.92,1.56,2.84,3.21,5.15,4.57
g_1,0.03,0.04,0.04,0.05,0.05,0.11,0.55,0.81,0.85,1.0,1.28,1.69,2.18,2.41,4.17,4.02
b_0,0.03,0.03,0.03,0.04,0.04,0.1,0.5,0.61,0.52,0.84,1.0,0.94,3.07,1.95,3.21,3.19
f_0,0.02,0.03,0.03,0.03,0.03,0.07,0.48,0.63,0.61,0.56,1.06,1.0,1.85,1.75,4.18,2.42
a_0,0.01,0.02,0.02,0.02,0.02,0.03,0.25,0.36,0.37,0.45,0.35,0.52,1.0,1.13,1.51,1.9
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.22,0.28,0.31,0.41,0.53,0.54,0.89,1.0,1.43,1.66
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.23,0.22,0.26,0.33,0.25,0.66,0.74,1.0,1.1
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.12,0.2,0.22,0.24,0.3,0.4,0.56,0.61,0.96,1.0
