,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.47,0.75,0.77,0.59,0.56,0.6,1.03,1.63,0.91,0.91,0.96,1.02,0.92,0.84,0.54,1.03
f_1,1.19,2.48,0.61,0.56,0.59,0.5,0.79,0.89,0.82,0.83,0.92,0.39,0.99,0.94,0.72,0.95
c_1,0.51,0.57,2.89,0.59,1.25,0.72,0.88,0.98,0.99,0.39,0.66,1.0,0.81,0.78,0.98,0.91
d_1,0.59,0.77,0.49,3.01,0.59,0.58,1.0,0.42,0.96,1.82,1.1,0.99,1.03,1.19,1.03,0.84
b_1,0.58,0.59,0.78,0.71,3.16,1.23,0.73,0.76,0.71,0.66,0.34,0.9,1.09,0.59,0.87,0.92
a_1,0.62,0.65,0.69,0.83,0.57,4.2,0.9,0.81,1.04,0.92,1.07,0.9,0.93,0.54,0.9,0.94
h_1,0.77,1.21,0.75,0.76,0.67,0.55,2.72,0.95,1.16,1.13,1.12,1.2,0.71,1.37,1.1,1.32
d_0,0.67,0.84,1.54,0.4,0.95,0.63,1.12,2.03,0.91,0.82,1.04,1.31,1.22,1.05,1.35,1.17
g_1,0.63,0.74,0.72,1.34,0.81,0.57,1.08,1.15,3.1,1.32,1.3,1.64,1.11,1.18,1.4,0.72
c_0,0.83,0.93,0.5,1.01,0.47,0.63,1.31,0.98,1.16,2.36,2.61,1.27,1.32,1.54,1.31,1.31
b_0,0.85,0.85,0.8,0.91,0.37,0.73,1.51,1.07,1.1,1.11,2.42,1.44,1.08,2.62,1.33,1.46
f_0,0.61,0.54,0.83,0.9,0.8,1.02,1.08,1.2,1.2,1.27,1.52,2.62,1.25,1.49,2.78,1.26
h_0,0.83,1.21,0.79,0.79,0.73,0.69,0.6,0.96,1.34,0.94,1.33,1.12,0.76,1.22,1.29,1.57
a_0,0.85,0.85,0.95,0.81,0.61,0.51,1.14,1.27,1.04,1.18,1.29,1.26,1.49,3.02,1.55,1.24
e_0,0.43,0.88,0.91,0.85,0.88,0.79,1.14,1.01,1.15,1.33,1.44,1.29,1.41,1.31,3.44,1.37
g_0,0.83,0.6,0.66,1.4,0.94,0.74,1.09,0.95,0.83,1.04,1.15,1.95,1.29,1.11,1.32,0.84
