,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.89,0.79,1.1,1.05,0.99,1.02,1.04,1.49,0.97,1.11,1.11,1.21,1.1,1.22,1.11
d_1,1.12,1.0,1.11,0.9,0.95,0.87,1.18,0.82,1.01,1.28,1.03,0.95,0.84,1.12,0.94,0.89
f_1,1.27,0.89,1.0,0.97,0.98,0.99,0.74,0.97,0.85,0.92,0.92,1.05,0.88,1.1,0.86,1.11
c_1,0.91,1.12,1.03,1.0,1.38,0.83,0.96,0.99,0.71,0.81,0.77,0.81,0.99,0.92,0.95,0.85
b_1,0.95,1.05,1.02,0.72,1.0,1.52,1.28,1.08,1.05,1.06,0.87,0.99,0.98,0.81,1.0,1.04
a_1,1.02,1.16,1.0,1.22,0.65,1.0,0.94,1.29,1.05,1.04,1.2,1.1,1.3,0.92,1.18,1.19
h_1,0.96,0.91,1.34,1.03,0.8,1.03,1.0,1.09,0.99,0.93,1.01,0.95,1.03,0.89,0.87,1.14
g_1,0.92,1.22,1.04,1.01,0.96,0.79,0.93,1.0,0.88,1.05,1.0,1.21,0.88,0.83,1.13,1.14
d_0,0.66,1.1,1.05,1.42,1.02,0.88,0.98,1.2,1.0,0.94,1.07,1.02,1.06,0.97,1.06,0.99
c_0,0.98,0.78,0.99,1.23,0.98,1.09,1.09,0.99,1.08,1.0,1.42,1.13,1.13,1.08,1.08,0.96
b_0,0.86,0.94,1.07,1.35,1.15,0.91,0.98,1.07,0.95,0.65,1.0,1.03,0.98,1.27,0.97,0.91
f_0,0.91,1.02,0.97,1.19,0.97,0.86,1.11,0.82,1.05,0.89,0.97,1.0,1.16,0.86,1.42,0.77
h_0,0.86,1.14,1.14,1.04,1.02,0.77,0.98,1.13,0.94,0.88,0.96,0.83,1.0,0.93,0.89,1.12
a_0,0.91,0.87,0.99,1.1,1.27,1.06,1.14,1.26,0.98,0.86,0.81,1.13,1.14,1.0,1.04,0.95
e_0,0.82,1.13,1.21,1.06,1.0,0.82,1.15,0.86,1.0,0.96,1.05,0.68,1.1,1.0,1.0,1.03
g_0,0.94,1.16,0.97,1.08,0.96,0.87,0.86,0.91,1.0,0.99,1.1,1.27,0.87,1.01,0.93,1.0
