,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,110.71,40.49,40.53,37.71,74.24,209.07,6385.89,3607.99,9183.54,20298.14,20907.56,19153.39,46274.56,64833.72,59869.02,67931.52
e_1,30.36,116.15,32.36,51.14,74.62,182.3,6050.3,17359.3,11578.13,11847.06,20054.01,21967.86,50483.62,57739.35,44590.28,71509.04
f_1,34.25,56.04,122.52,44.38,61.55,191.74,5346.08,9833.3,12534.89,11589.58,7305.08,18445.34,34893.87,48874.95,42056.62,56821.69
c_1,34.35,34.86,37.51,136.84,113.42,147.2,4757.62,8071.95,9169.58,5074.39,17167.64,14340.78,54711.59,44810.03,43893.9,87400.85
b_1,28.39,25.78,30.34,31.95,217.89,222.2,5294.38,7109.71,7510.41,9866.87,13518.99,5625.79,35000.31,34635.92,50506.68,64943.34
a_1,19.87,21.49,16.81,25.93,44.71,437.0,4039.24,7355.37,6730.26,8109.2,13132.52,12408.9,32587.03,17644.56,45035.07,42018.52
h_1,10.08,8.66,17.17,14.72,19.95,38.38,3604.23,3084.21,4409.68,3463.26,5139.18,5480.57,9584.33,15013.71,18171.31,24278.2
d_0,6.39,7.83,9.91,19.98,22.9,44.34,1502.21,4410.54,2058.52,2507.63,4833.84,4513.89,11913.86,11591.44,14636.38,19759.62
g_1,12.05,7.53,8.28,10.3,20.99,37.15,1045.53,2983.63,5899.4,2878.42,6318.96,5365.42,11449.65,15880.01,19250.03,7757.07
c_0,7.25,8.72,12.42,5.37,16.56,35.65,1824.57,3118.48,2571.98,5253.44,5420.63,9770.76,14465.59,15299.76,18062.74,25941.06
f_0,7.51,6.56,6.61,11.51,18.94,35.37,1319.45,2536.43,2596.98,2329.61,7083.69,4792.41,12484.72,11879.09,23057.29,13973.8
b_0,8.19,7.01,9.76,11.89,9.34,30.68,1258.26,2637.69,2187.48,2119.8,4618.33,7455.6,12366.09,21952.67,15126.35,14506.93
h_0,7.15,5.31,10.54,6.39,12.73,20.25,449.39,1745.54,1939.52,1520.51,2811.93,3194.79,5269.24,9101.53,9651.36,13597.25
a_0,5.34,5.61,7.3,7.53,10.21,,1052.98,1892.08,985.94,1904.6,3731.0,2408.4,7880.17,17053.93,12286.78,11165.15
e_0,6.01,1.92,7.58,7.46,11.08,22.49,972.5,1915.27,1329.65,1659.4,2592.8,2982.99,7841.11,7762.04,18235.4,12145.25
g_0,6.86,4.31,6.68,5.48,10.2,23.59,807.23,1311.46,1407.84,1620.86,4423.55,3437.96,7452.67,9295.6,8451.46,8098.76
