,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.88,0.76,1.06,0.95,0.75,0.49,0.49,0.66,0.44,0.47,0.45,0.4,0.36,0.38,0.33
d_1,1.13,1.0,1.11,0.86,0.9,0.69,0.55,0.39,0.43,0.56,0.44,0.39,0.3,0.38,0.29,0.27
f_1,1.31,0.9,1.0,0.93,0.91,0.73,0.36,0.45,0.39,0.41,0.4,0.41,0.3,0.36,0.27,0.34
c_1,0.95,1.18,1.07,1.0,1.32,0.68,0.49,0.49,0.33,0.37,0.34,0.34,0.35,0.32,0.31,0.28
b_1,1.04,1.09,1.09,0.75,1.0,1.24,0.67,0.53,0.49,0.51,0.4,0.42,0.36,0.3,0.34,0.34
a_1,1.33,1.47,1.35,1.48,0.81,1.0,0.61,0.79,0.61,0.58,0.65,0.58,0.56,0.41,0.49,0.46
h_1,1.92,1.91,2.71,2.12,1.53,1.55,1.0,1.1,0.9,0.86,0.89,0.75,0.72,0.62,0.57,0.7
g_1,2.0,2.57,2.24,2.07,1.91,1.31,0.91,1.0,0.81,0.96,0.9,1.0,0.65,0.59,0.71,0.67
d_0,1.48,2.47,2.4,3.15,2.19,1.55,1.13,1.28,1.0,0.91,1.01,0.87,0.81,0.73,0.78,0.7
c_0,2.23,1.8,2.25,2.54,1.99,1.81,1.15,1.08,1.13,1.0,1.37,1.02,0.87,0.81,0.81,0.67
b_0,2.06,2.29,2.41,3.03,2.4,1.71,1.1,1.17,1.0,0.69,1.0,1.0,0.79,1.01,0.73,0.66
f_0,2.3,2.5,2.6,2.83,2.26,1.67,1.34,1.01,1.18,1.02,1.02,1.0,1.0,0.72,1.18,0.6
h_0,2.64,3.28,3.31,2.85,2.76,1.81,1.39,1.57,1.24,1.14,1.22,0.97,1.0,0.88,0.83,0.99
a_0,2.79,2.56,3.04,3.03,3.55,2.29,1.66,1.7,1.32,1.15,1.0,1.35,1.17,1.0,1.0,0.85
e_0,2.82,3.59,3.83,3.23,2.91,2.07,1.8,1.36,1.38,1.29,1.4,0.83,1.17,1.03,1.0,0.88
g_0,3.18,3.81,3.0,3.35,2.76,2.2,1.37,1.53,1.41,1.42,1.48,1.65,0.97,1.16,1.05,1.0
