,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,5.56,0.07,0.07,0.07,0.09,0.06,0.32,0.66,0.41,0.25,0.38,0.33,0.45,0.4,0.5,
f_1,0.12,5.73,0.09,0.09,0.07,0.08,0.36,0.41,0.3,0.31,0.29,,0.6,0.36,0.54,0.26
d_1,0.08,0.08,5.76,0.07,0.06,0.07,0.23,,0.6,0.31,0.38,0.45,0.66,0.49,0.67,0.46
c_1,0.08,0.07,0.07,6.58,0.13,0.12,0.26,0.46,,0.22,0.28,0.42,0.55,0.38,0.6,0.53
b_1,0.1,0.11,0.06,0.12,8.02,0.09,0.24,0.31,0.31,0.22,,0.38,0.67,,0.45,0.48
a_1,0.09,0.05,0.09,0.07,0.1,12.0,0.3,0.48,0.34,,0.43,,0.74,,0.45,
h_1,0.3,0.41,0.27,0.32,0.22,0.26,13.89,1.32,1.81,1.59,1.15,1.04,,,3.24,1.44
d_0,0.33,0.31,,0.63,0.44,0.44,1.64,10.96,2.05,1.57,2.11,2.05,3.69,1.82,2.72,1.89
c_0,0.36,0.38,0.36,,0.28,0.3,1.49,2.16,11.24,1.42,4.02,1.92,2.74,2.37,2.73,2.22
g_1,0.26,0.28,0.49,0.28,0.18,0.31,0.8,1.51,1.42,18.13,1.26,1.58,2.52,1.52,,1.21
b_0,0.22,0.49,0.4,0.33,,,2.02,1.43,2.3,1.5,13.07,2.35,3.58,3.33,2.15,1.56
f_0,0.28,,0.41,0.27,0.38,0.41,1.15,2.32,2.61,1.72,1.64,16.03,3.19,1.74,2.44,4.04
h_0,0.64,0.74,0.52,0.63,0.56,0.48,,2.65,3.31,2.27,2.76,2.31,,2.92,7.24,
a_0,0.4,0.38,0.38,0.26,0.36,,1.17,2.45,2.56,1.33,1.87,2.12,2.19,20.67,2.05,2.49
g_0,0.49,0.48,0.83,0.64,0.7,0.56,2.26,2.72,1.89,,2.9,5.27,3.62,,,2.97
e_0,,0.28,0.55,0.37,0.51,,2.79,1.89,,1.76,2.17,,2.88,,2.77,22.17
