,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.45,2.2,4.94,3.94,4.57,3.25,1.48,1.48,1.22,0.9,1.1,1.09,0.9,0.73,4.42,0.69
f_1,4.23,0.44,4.66,5.41,3.71,4.67,0.89,1.2,0.83,0.77,4.07,0.85,0.71,0.39,0.73,0.77
d_1,4.19,5.22,0.43,4.66,4.83,4.82,1.33,0.91,0.74,4.44,0.69,0.84,0.79,0.61,1.01,0.34
c_1,4.48,4.36,6.26,0.4,4.82,5.93,1.31,0.92,2.43,0.54,0.9,0.89,1.0,0.79,0.94,0.69
b_1,4.96,5.75,4.6,2.61,0.39,5.41,1.67,1.36,1.27,1.08,1.23,6.56,1.46,0.71,0.82,0.95
a_1,5.63,6.45,5.02,6.65,3.63,0.33,1.71,1.94,1.27,1.99,1.24,1.38,6.37,0.81,1.67,0.94
h_1,4.61,5.43,4.68,4.53,4.6,4.98,0.36,2.38,0.94,1.02,0.95,0.84,1.09,2.1,0.87,0.95
g_1,4.95,6.84,5.04,5.65,5.42,5.52,1.2,0.34,1.12,0.98,1.09,1.07,1.13,0.6,1.2,2.38
c_0,4.92,6.87,2.84,,6.46,5.47,1.66,1.65,0.45,1.3,1.09,1.27,1.36,0.89,1.15,0.9
d_0,3.28,5.82,13.94,5.87,6.23,5.73,1.62,2.32,1.32,0.44,0.88,1.1,1.21,1.02,1.11,1.02
f_0,6.46,22.99,4.97,5.37,5.92,5.47,1.74,1.29,1.0,1.33,0.39,0.85,1.27,0.96,1.16,0.57
b_0,6.76,6.44,5.02,7.27,18.0,6.86,1.43,1.71,0.52,1.09,1.24,0.4,1.35,0.85,0.86,0.86
a_0,7.72,6.86,6.68,7.11,9.89,13.04,1.58,1.92,1.05,1.21,1.53,0.67,0.35,1.13,1.17,0.83
h_0,6.66,7.05,9.24,8.69,5.44,5.82,4.53,1.82,1.48,1.15,1.39,1.44,1.41,2.31,1.27,1.07
e_0,24.99,9.6,5.13,7.54,8.24,5.74,1.79,3.5,1.38,1.73,0.63,1.51,1.3,1.28,0.33,0.77
g_0,7.98,8.85,8.06,8.06,8.15,7.75,1.45,4.24,1.22,1.83,1.49,1.34,1.43,0.97,1.45,2.34
