,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.38,0.63,0.76,0.9,0.77,0.78,1.61,2.64,1.29,1.66,1.71,1.89,2.22,1.43,2.24,0.84
f_1,1.2,2.44,0.81,0.71,0.73,0.55,1.39,1.58,1.45,1.63,1.67,0.76,2.23,1.62,1.96,1.22
d_1,0.84,0.82,2.49,0.68,0.73,0.65,1.5,0.8,1.68,2.79,1.62,1.79,1.89,1.88,1.82,1.55
c_1,0.64,0.81,0.74,2.59,1.38,0.58,1.63,1.58,1.34,0.9,1.68,1.4,2.15,1.67,2.03,1.46
b_1,0.68,0.76,0.79,0.64,2.76,1.41,1.42,1.95,1.33,1.82,0.9,1.86,1.67,1.79,1.58,2.4
a_1,0.76,1.01,0.72,0.98,0.59,3.21,1.34,1.78,1.58,1.54,1.34,1.55,1.99,0.56,2.22,1.66
h_1,0.86,1.31,0.98,0.91,0.82,1.16,4.01,2.1,2.38,2.12,2.33,2.01,1.55,2.05,3.76,3.14
d_0,0.87,1.14,0.54,1.72,0.91,0.97,2.22,3.6,1.74,1.78,2.21,2.4,3.12,2.4,2.8,2.49
g_1,1.01,0.95,1.34,0.96,0.98,0.65,1.71,2.09,4.43,2.07,2.33,2.65,2.57,2.22,1.7,2.42
c_0,0.98,1.17,0.94,0.69,0.78,1.18,2.45,1.94,2.03,3.86,3.74,2.98,3.43,2.41,3.76,2.67
b_0,1.04,1.0,1.17,1.01,0.56,1.12,2.01,2.41,1.91,1.87,4.03,2.37,2.98,3.58,2.97,2.48
f_0,0.88,0.79,1.04,1.3,0.93,1.15,2.05,2.32,2.09,2.0,2.43,4.07,2.99,2.94,2.81,3.92
h_0,0.99,1.24,1.13,1.05,1.06,0.85,1.28,1.92,2.55,1.82,2.59,2.22,1.78,2.11,2.98,2.25
a_0,1.04,1.22,1.07,1.06,0.93,,1.99,2.13,2.17,2.09,2.46,2.24,3.53,4.87,2.94,2.63
g_0,0.93,0.87,1.48,1.0,1.09,0.91,1.59,1.94,1.34,1.53,2.05,3.18,2.48,2.17,1.99,2.81
e_0,0.46,1.18,1.17,1.47,0.87,1.17,1.42,1.76,1.75,1.99,2.2,2.25,2.46,2.39,2.57,4.86
