,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.07,3.78,3.56,2.99,3.04,2.96,1.24,2.97,1.14,0.81,1.06,0.85,0.74,0.83,0.82,0.44
f_1,2.9,1.07,3.51,3.95,3.38,2.22,0.97,1.05,1.14,1.2,0.98,2.21,0.69,0.76,0.72,0.77
e_1,3.69,2.26,1.07,3.51,3.47,3.09,1.5,1.31,1.0,1.73,1.23,1.09,0.89,0.94,1.51,0.88
c_1,4.34,3.34,3.63,1.07,3.85,2.88,1.3,0.67,1.64,1.36,0.86,0.95,0.87,0.97,0.99,0.9
b_1,4.56,4.2,3.9,2.44,1.07,5.82,1.6,1.35,1.19,1.29,2.32,1.11,0.93,1.23,1.03,0.81
a_1,4.97,5.59,5.65,7.44,2.67,1.07,1.65,1.25,1.45,1.76,1.67,2.1,1.07,2.63,1.46,1.19
h_1,6.86,7.8,7.88,7.27,6.26,7.15,1.38,2.45,1.96,3.1,1.88,2.05,2.83,1.68,2.01,1.94
d_0,12.23,8.66,4.63,10.05,7.23,9.26,3.59,1.62,2.59,3.3,2.97,2.61,2.12,2.53,2.27,2.18
c_0,5.45,8.15,9.26,17.58,10.27,7.29,3.66,2.96,1.61,3.4,2.66,2.13,2.05,2.36,1.83,2.41
g_1,10.59,9.61,7.8,8.01,8.55,7.65,2.88,2.95,2.61,1.38,2.38,2.41,1.4,1.88,1.98,3.0
b_0,7.56,10.14,9.46,12.74,16.92,7.31,3.84,2.42,1.86,3.43,1.58,2.57,1.99,2.63,3.23,1.91
f_0,9.87,22.66,9.79,9.67,9.35,7.87,4.11,3.75,2.69,2.64,2.71,1.66,2.49,3.04,2.84,1.56
h_0,12.9,11.54,9.82,11.28,12.96,9.59,7.14,3.44,3.43,4.41,3.29,3.1,4.49,3.3,2.44,2.94
a_0,11.79,16.13,12.72,11.81,16.07,15.91,5.12,3.13,3.3,6.76,2.31,3.11,2.5,1.65,2.9,2.49
e_0,12.63,21.14,31.29,12.95,11.31,11.93,4.43,4.35,4.39,5.01,3.34,1.85,3.21,3.33,1.65,2.48
g_0,16.73,16.66,13.26,11.95,17.67,10.81,5.11,4.19,3.95,6.79,4.1,4.59,2.45,4.02,3.72,3.96
