,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.15,108.21,79.04,105.93,74.35,84.48,24.35,14.04,,16.24,15.77,15.82,11.89,21.37,7.43,14.25
f_1,91.35,1.15,86.76,118.64,85.97,71.96,18.0,25.57,18.05,20.81,17.57,,7.13,14.5,12.46,20.12
e_1,117.87,48.92,1.15,92.69,80.91,80.96,25.09,24.69,18.05,26.64,21.21,19.33,12.23,15.62,9.18,
c_1,140.54,91.56,118.57,1.15,105.81,114.29,24.35,23.1,12.04,,19.22,26.1,19.45,15.62,15.86,28.5
b_1,114.19,127.54,122.66,65.91,1.15,,30.67,26.52,21.44,21.48,,19.33,13.38,,15.17,24.43
a_1,107.47,155.26,136.81,197.73,,1.15,59.14,,36.11,30.27,43.93,32.62,22.53,,24.93,
h_1,98.76,102.03,114.74,80.16,119.61,80.96,2.0,29.83,15.59,19.59,18.64,18.0,,19.33,15.86,17.1
g_1,110.73,132.26,118.57,87.24,131.0,,19.26,2.0,32.67,28.96,19.84,22.7,13.81,,,
d_0,,105.03,53.09,78.05,94.86,80.96,23.66,28.64,3.04,14.8,18.09,17.4,12.59,15.62,15.86,20.12
c_0,49.38,99.19,98.81,,110.04,97.15,26.71,23.87,20.79,3.16,19.84,16.84,10.19,19.33,12.03,21.38
b_0,117.87,108.21,101.63,156.11,,138.79,37.64,26.52,19.06,11.48,2.8,19.33,16.46,18.45,17.45,13.68
f_0,126.0,,107.79,105.93,101.89,114.29,37.64,26.52,22.87,22.2,41.0,3.09,17.12,25.38,9.18,21.38
h_0,84.98,79.36,127.04,105.93,105.81,107.94,,25.57,17.59,17.08,17.08,21.75,,16.24,13.96,14.25
a_0,140.54,142.84,197.61,164.78,,,37.64,,36.11,27.75,21.96,30.71,21.4,3.05,31.73,
g_0,110.73,102.03,142.28,118.64,114.62,129.53,21.79,,23.66,26.64,25.62,30.71,13.81,25.38,,
e_0,174.0,324.64,,141.24,171.94,,63.69,,27.44,25.62,43.93,16.31,28.53,,,2.95
