,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.88,1.25,0.97,0.94,0.67,0.63,0.69,0.7,0.59,0.63,0.54,0.49,0.55,0.4,0.53
d_1,1.15,1.0,1.02,0.85,0.88,0.84,0.73,0.65,0.58,0.93,0.66,0.61,0.62,0.61,0.61,0.48
e_1,0.8,0.98,1.0,1.22,0.92,0.85,0.7,0.95,0.71,0.61,0.7,0.8,0.63,0.59,0.69,0.64
c_1,1.03,1.2,0.83,1.0,1.35,1.0,0.64,0.47,0.63,0.56,0.55,0.58,0.61,0.56,0.53,0.58
b_1,1.05,1.11,1.06,0.75,1.0,1.2,0.85,0.68,0.72,0.76,0.64,0.65,0.67,0.52,0.6,0.66
a_1,1.46,1.19,1.17,1.01,0.84,1.0,0.87,0.79,0.88,0.72,0.76,0.69,0.78,0.67,0.68,0.57
h_1,1.61,1.36,1.42,1.61,1.21,1.11,1.0,0.91,1.09,0.81,0.88,0.84,0.83,0.71,0.74,0.97
d_0,1.46,1.59,1.04,2.13,1.56,1.32,1.11,1.0,0.98,0.72,0.98,0.97,0.91,0.82,0.87,0.83
g_1,1.45,1.74,1.37,1.63,1.34,1.21,0.94,0.94,1.0,0.97,0.97,1.07,0.78,0.96,0.84,0.95
c_0,1.64,1.11,1.63,1.85,1.26,1.33,1.21,1.36,1.02,1.0,1.48,0.98,0.98,0.97,0.92,0.92
b_0,1.58,1.53,1.43,1.85,1.63,1.18,1.15,0.96,1.03,0.72,1.0,0.93,1.03,1.29,1.03,0.92
f_0,1.79,1.56,1.33,1.73,1.58,1.44,1.11,1.01,0.98,1.03,1.02,1.0,1.02,0.91,1.36,0.72
h_0,1.98,1.62,1.67,1.66,1.48,1.23,1.19,1.08,1.37,1.0,0.98,0.96,1.0,0.85,0.86,1.15
a_0,1.78,1.71,1.59,1.74,1.93,1.53,1.42,1.2,1.02,1.1,0.8,1.09,1.16,1.0,0.9,0.99
e_0,2.47,1.59,1.39,1.97,1.8,1.47,1.31,1.12,1.14,1.05,1.03,0.73,1.17,1.19,1.0,0.86
g_0,1.89,2.04,1.52,1.69,1.57,1.68,1.08,1.13,1.06,1.07,1.09,1.3,0.86,0.98,1.14,1.0
