,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.15,99.11,71.75,72.95,74.89,96.9,24.17,19.67,15.09,,22.11,15.34,9.98,16.79,6.82,16.68
f_1,92.39,1.15,84.0,85.82,99.85,66.83,19.67,21.45,34.7,17.5,15.71,,8.47,20.15,11.24,14.68
e_1,111.41,48.88,1.15,88.42,96.29,107.67,24.17,20.23,27.76,14.15,17.56,25.57,10.95,25.19,17.36,
c_1,118.38,132.15,114.8,1.15,122.55,107.67,21.69,,23.13,11.47,19.26,20.65,18.71,31.0,13.17,30.58
b_1,114.79,115.1,111.1,59.55,1.15,,40.29,25.29,36.53,18.47,,28.26,19.52,20.15,19.1,18.35
a_1,157.83,148.67,149.74,162.11,,1.15,56.4,37.26,43.38,36.94,35.12,41.31,26.41,,27.29,
h_1,74.27,89.2,114.8,145.9,92.97,114.0,2.0,17.27,25.7,19.56,19.26,22.38,,14.39,15.92,13.59
c_0,44.56,101.94,101.29,,81.7,84.26,21.69,3.0,26.69,19.56,19.9,14.51,17.27,20.15,11.94,20.39
g_1,130.62,132.15,181.26,116.72,149.78,114.0,22.26,28.32,2.0,23.75,21.32,18.52,16.04,28.79,,16.68
d_0,,75.91,52.98,91.19,99.85,114.0,24.88,16.47,53.38,2.88,33.17,14.92,12.14,23.71,13.64,18.35
b_0,111.41,93.89,114.8,145.9,,74.54,32.54,11.8,27.76,19.0,3.03,28.26,14.48,36.64,15.28,19.32
f_0,130.62,,104.36,182.38,92.97,114.0,36.78,22.84,17.79,26.6,21.32,3.09,16.04,25.19,11.24,24.47
h_0,94.7,89.2,93.08,76.79,81.7,96.9,,19.67,23.13,17.97,17.56,24.41,,12.59,12.32,19.32
a_0,157.83,198.22,202.59,194.53,192.57,,36.78,25.29,40.82,55.42,16.14,41.31,16.63,3.08,27.29,28.23
g_0,140.3,187.79,143.5,100.62,112.33,102.0,22.26,19.14,,36.94,20.59,17.9,9.16,15.5,,28.23
e_0,164.7,169.9,,132.64,245.09,,60.43,37.26,49.57,47.5,33.17,13.77,22.45,26.87,20.11,3.31
