,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.26,0.98,0.71,1.02,0.71,0.54,1.62,3.0,1.72,1.21,1.85,1.66,2.34,1.52,1.87,0.93
f_1,1.45,2.29,0.79,0.77,0.67,0.57,1.52,1.73,1.5,1.1,1.61,0.99,1.84,1.41,1.66,0.78
d_1,0.88,0.91,2.46,0.61,0.61,0.65,1.61,1.1,3.26,1.54,1.86,1.8,2.29,1.5,2.07,1.46
c_1,0.8,0.88,0.79,2.53,1.42,0.55,1.5,1.73,0.89,1.15,1.07,1.48,1.89,1.35,1.78,1.5
b_1,0.84,0.94,0.78,0.71,2.68,1.33,1.45,1.79,1.63,1.11,1.01,1.35,1.96,0.89,1.86,1.37
a_1,0.93,1.0,0.81,0.87,0.7,3.11,1.81,1.67,1.45,1.43,1.56,1.49,1.94,0.68,2.11,1.47
h_1,0.93,1.27,0.94,0.87,0.84,0.71,3.15,1.94,1.56,1.81,1.76,1.69,1.95,1.23,2.67,1.45
d_0,0.91,0.96,0.66,1.64,0.9,0.61,1.66,3.0,1.35,1.23,1.69,1.85,2.05,1.42,1.81,1.53
c_0,1.01,1.05,0.97,0.65,0.59,0.75,2.05,1.94,3.02,1.47,3.52,2.06,2.69,1.97,2.17,1.35
g_1,0.93,0.79,1.36,0.88,0.67,0.62,1.73,1.81,2.29,3.86,1.96,3.04,2.13,1.63,1.28,1.85
b_0,0.92,1.18,1.07,0.91,0.56,0.52,1.83,1.61,1.96,1.64,3.26,1.92,2.58,3.17,2.0,1.55
f_0,0.65,0.78,1.1,1.01,1.0,0.83,1.91,1.98,2.14,1.56,1.9,3.35,2.7,1.55,2.04,3.7
h_0,0.94,1.34,1.0,0.9,0.73,0.67,1.32,1.89,1.84,1.69,2.15,1.55,1.68,1.55,2.62,1.49
a_0,1.06,0.99,1.01,0.9,0.93,0.48,1.97,2.13,1.95,1.38,1.93,1.7,2.64,3.58,1.99,1.41
g_0,0.67,0.8,1.47,0.89,0.98,0.68,1.62,1.55,2.09,1.13,1.93,2.93,2.4,1.54,1.69,2.24
e_0,0.7,1.14,0.85,0.93,0.98,0.89,1.8,1.95,1.83,1.42,1.69,1.97,2.53,1.47,1.77,3.57
