,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,17.34,0.51,0.45,0.41,0.58,0.48,1.11,2.13,1.01,0.47,1.2,1.04,1.06,1.11,1.17,1.33
f_1,0.45,17.72,1.23,0.46,0.38,0.51,0.93,0.75,0.69,1.05,0.95,0.29,0.89,0.83,0.76,0.74
e_1,0.52,0.56,17.33,0.64,0.57,0.56,0.75,0.75,0.66,1.91,0.92,0.96,0.97,0.88,0.81,0.31
c_1,0.56,0.45,0.46,22.1,1.22,0.45,0.56,0.27,0.74,0.84,0.51,0.81,0.91,0.73,0.85,1.05
b_1,0.58,0.49,0.45,0.43,23.72,1.28,0.85,0.85,0.75,0.72,0.44,1.12,0.93,0.72,0.94,0.92
a_1,0.54,0.74,0.46,0.6,0.4,32.88,0.84,0.84,0.93,0.76,1.22,1.02,1.04,0.37,1.09,0.65
h_1,0.63,0.99,0.63,0.89,0.46,0.53,5.49,1.07,2.02,0.9,0.99,1.24,0.67,1.33,1.58,1.1
c_0,0.73,0.66,0.62,0.53,0.55,0.67,1.31,3.23,1.39,1.1,3.03,1.18,1.25,1.75,1.48,1.38
g_1,1.25,0.61,0.5,0.74,0.53,0.55,1.04,1.02,6.62,0.71,0.95,2.03,1.18,0.98,0.92,1.3
d_0,0.29,0.72,0.69,2.0,0.74,0.57,1.05,0.78,1.03,3.24,1.21,1.1,1.23,0.91,0.9,0.88
b_0,0.63,0.89,0.62,0.87,0.36,0.7,1.2,1.11,1.24,1.02,3.72,1.42,1.31,3.02,1.25,1.28
f_0,0.88,0.4,0.46,0.91,0.73,0.59,1.07,1.31,1.53,1.17,1.1,4.09,1.29,1.78,1.31,3.4
h_0,0.81,1.19,0.67,0.77,0.66,0.51,0.7,1.06,1.48,1.16,1.05,1.16,0.67,1.25,1.71,1.24
a_0,0.9,0.74,0.66,0.77,0.57,0.29,1.78,1.15,1.14,1.06,1.18,1.16,1.64,5.06,1.58,1.41
g_0,1.56,0.54,0.54,0.79,0.56,0.57,1.1,1.25,0.97,0.96,1.13,2.37,1.12,1.25,0.78,1.5
e_0,0.67,1.01,0.29,0.7,0.73,0.74,1.65,1.28,1.74,1.37,1.09,1.21,1.26,1.28,1.03,4.77
