,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.31,1.03,0.97,0.8,0.84,0.85,1.05,1.01,0.99,0.99,0.84,0.86,0.99,0.99,0.83
e_1,0.77,1.0,1.17,0.95,1.19,1.0,1.04,1.07,1.43,0.99,1.01,1.19,1.13,1.04,1.07,1.19
c_1,0.98,0.85,1.0,1.07,1.28,0.99,1.08,1.03,0.72,0.82,0.83,1.0,0.94,0.87,1.05,1.05
d_1,1.05,1.04,0.94,1.0,0.94,1.01,0.96,0.83,0.94,1.27,1.01,1.01,0.95,1.0,0.83,1.0
b_1,1.25,0.86,0.79,1.06,1.0,1.34,1.13,1.09,0.97,1.16,1.09,0.97,1.07,0.87,1.12,0.84
a_1,1.16,0.99,1.01,0.94,0.76,1.0,1.09,1.08,1.16,0.99,1.04,1.12,1.19,1.06,1.08,0.88
h_1,1.2,0.96,0.88,1.02,0.89,0.9,1.0,1.09,0.92,0.97,1.04,0.92,1.06,0.93,1.14,0.94
g_1,0.97,0.97,0.96,1.17,0.95,0.93,0.9,1.0,0.94,0.95,1.05,1.13,0.89,1.12,0.97,1.1
d_0,0.93,0.71,1.41,1.05,1.08,0.83,1.11,1.08,1.0,0.77,1.01,1.07,1.06,1.06,1.12,1.16
c_0,1.01,1.03,1.21,0.81,0.83,0.97,0.98,1.04,1.25,1.0,1.33,1.04,1.14,1.36,1.15,1.24
b_0,1.03,0.98,1.2,0.98,0.93,0.98,1.01,0.94,0.94,0.7,1.0,0.91,0.98,1.35,0.96,0.96
f_0,1.12,0.86,1.04,0.99,0.97,0.9,1.06,0.87,1.0,0.97,1.09,1.0,1.11,1.07,0.83,1.52
h_0,1.16,0.91,1.03,1.01,0.96,0.85,0.9,1.13,0.96,0.88,1.01,0.88,1.0,1.02,1.08,0.95
a_0,0.99,0.96,1.08,1.05,1.15,0.94,1.04,0.91,0.92,0.74,0.77,0.97,0.96,1.0,0.95,1.08
g_0,1.03,0.93,0.94,1.16,0.93,0.89,0.9,1.03,0.86,0.85,0.99,1.21,0.9,1.03,1.0,1.11
e_0,1.22,0.84,1.01,0.96,1.21,1.16,1.1,0.9,0.93,0.82,1.08,0.68,1.04,0.89,0.91,1.0
