,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.73,1.06,1.06,0.87,1.11,1.22,1.0,1.11,1.2,0.99,0.98,1.21,0.94,,0.81
f_1,1.36,1.0,0.87,1.22,1.08,1.06,0.79,1.07,1.15,0.85,1.04,,0.96,0.84,0.84,0.93
d_1,0.94,1.15,1.0,0.86,1.02,0.87,1.04,0.78,,1.39,1.06,0.88,0.97,0.93,1.08,0.97
c_1,0.94,0.82,1.17,1.0,1.57,0.92,1.13,1.09,0.82,,0.91,0.91,1.06,0.78,1.0,1.02
b_1,1.15,0.93,0.98,0.64,1.0,1.23,1.09,1.21,1.05,0.83,,1.15,0.8,1.18,0.86,1.26
a_1,0.9,0.95,1.15,1.09,0.81,1.0,1.07,1.21,0.88,1.24,1.13,0.8,,1.15,0.86,
h_1,0.82,1.27,0.96,0.89,0.92,0.93,1.0,1.04,1.07,0.98,1.04,1.07,1.0,,0.87,1.09
g_1,1.0,0.93,1.28,0.92,0.83,0.83,0.96,1.0,1.06,0.98,0.84,1.6,0.85,1.02,0.92,
d_0,0.9,0.87,,1.22,0.95,1.14,0.93,0.94,1.0,1.13,0.92,0.82,1.15,1.16,0.9,1.12
c_0,0.83,1.18,0.72,,1.21,0.81,1.02,1.02,0.89,1.0,1.31,1.0,0.96,1.06,1.28,1.14
b_0,1.01,0.96,0.94,1.1,,0.89,0.97,1.19,1.09,0.77,1.0,1.15,1.22,1.02,1.06,0.85
f_0,1.02,,1.13,1.1,0.87,1.25,0.93,0.62,1.22,1.0,0.87,1.0,1.0,1.24,1.24,0.72
a_0,0.82,1.04,1.03,0.94,1.25,,1.0,1.17,0.87,1.04,0.82,1.0,1.0,1.06,,1.06
h_0,1.07,1.19,1.07,1.29,0.85,0.87,,0.98,0.86,0.94,0.98,0.81,0.95,,0.88,1.14
e_0,,1.2,0.93,1.0,1.17,1.17,1.15,1.08,1.11,0.78,0.95,0.81,,1.14,1.0,0.88
g_0,1.24,1.08,1.03,0.98,0.79,,0.92,,0.89,0.88,1.18,1.39,0.95,0.88,1.13,
