,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.54,0.79,0.46,0.82,0.66,0.57,1.05,0.92,1.75,0.88,0.92,1.0,1.01,0.96,0.45,0.86
f_1,1.22,2.62,0.62,0.65,0.45,0.53,0.79,0.74,0.77,0.93,0.37,0.93,0.92,0.87,0.73,0.74
d_1,0.62,0.71,2.84,0.57,0.66,0.64,0.88,0.94,0.36,1.73,0.91,1.11,1.06,1.04,0.96,0.91
c_1,0.53,0.6,0.69,2.92,1.16,0.54,0.93,0.71,0.94,0.34,0.93,0.75,0.93,0.92,0.9,1.06
b_1,0.59,0.57,0.74,0.54,2.93,1.22,0.78,0.93,0.86,0.87,1.22,0.46,0.97,0.77,1.04,1.01
a_1,0.6,0.69,0.77,0.62,0.6,4.21,1.0,0.97,0.87,0.97,0.99,0.99,1.04,0.35,1.31,0.95
h_1,0.69,1.11,0.87,0.81,0.71,0.72,2.63,1.41,1.1,1.01,1.0,1.2,0.68,1.08,1.25,1.68
g_1,0.68,0.66,1.19,0.87,0.85,0.66,1.13,3.1,0.89,1.1,1.81,0.98,0.97,1.14,1.15,0.75
d_0,0.81,0.88,0.52,1.56,0.67,0.79,1.04,1.11,2.12,0.84,1.17,1.15,1.12,1.16,1.12,1.13
c_0,0.92,0.87,0.92,0.5,0.64,0.79,1.25,1.01,1.04,2.02,1.09,2.48,1.1,1.58,1.01,1.19
f_0,0.55,0.56,0.87,0.92,0.98,0.91,1.28,1.26,1.14,0.83,2.64,1.07,1.34,1.26,2.69,1.6
b_0,0.75,0.87,0.81,0.96,0.59,0.51,0.96,1.21,1.26,1.26,1.26,2.68,1.3,2.76,1.26,1.22
h_0,0.74,1.05,0.92,0.81,0.75,0.74,0.69,1.61,1.22,1.06,1.23,1.24,0.71,1.36,1.14,1.59
a_0,0.88,0.79,0.8,0.91,0.92,0.25,1.3,1.41,1.07,1.1,1.49,1.14,1.13,3.39,1.29,1.57
e_0,0.47,0.94,1.08,0.75,0.76,0.83,1.35,1.18,1.05,1.32,1.06,1.26,1.4,1.2,3.23,1.34
g_0,0.55,0.74,1.42,0.79,0.72,0.83,1.0,0.84,0.84,1.08,2.0,1.22,1.12,0.98,1.68,0.9
