,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.49,1.09,1.23,2.02,5.36,17.55,34.63,24.85,32.26,43.68,,72.9,101.85,110.38,122.08
e_1,0.67,1.0,0.86,1.29,1.62,3.19,15.48,27.3,25.13,46.19,38.46,58.73,76.03,85.69,103.48,
d_1,0.92,1.16,1.0,0.97,1.66,3.22,16.44,32.96,26.22,,57.05,37.02,59.09,64.5,79.96,114.24
c_1,0.81,0.77,1.03,1.0,1.78,3.16,16.73,,22.1,21.91,37.36,33.03,59.89,57.28,99.92,107.41
b_1,0.5,0.62,0.6,0.56,1.0,3.21,10.72,18.59,14.03,17.81,,23.18,50.03,51.61,48.2,57.92
a_1,0.19,0.31,0.31,0.32,0.31,1.0,3.92,8.01,,11.26,10.54,11.02,20.71,,20.66,
h_1,0.06,0.06,0.06,0.06,0.09,0.26,1.0,1.57,2.08,1.87,3.24,2.54,,4.62,6.75,5.92
c_0,0.03,0.04,0.03,,0.05,0.12,0.64,1.0,1.13,1.19,2.19,1.52,2.76,3.02,3.36,3.47
g_1,0.04,0.04,0.04,0.05,0.07,,0.48,0.88,1.0,0.8,1.34,1.63,1.71,2.52,,
d_0,0.03,0.02,,0.05,0.06,0.09,0.53,0.84,1.25,1.0,1.38,1.5,2.39,3.06,3.58,3.52
b_0,0.02,0.03,0.02,0.03,,0.09,0.31,0.46,0.75,0.73,1.0,1.4,1.68,,2.1,2.87
f_0,,0.02,0.03,0.03,0.04,0.09,0.39,0.66,0.61,0.67,0.72,1.0,2.0,2.13,1.47,3.19
h_0,0.01,0.01,0.02,0.02,0.02,0.05,,0.36,0.58,0.42,0.6,0.5,,0.87,1.49,1.37
a_0,0.01,0.01,0.02,0.02,0.02,,0.22,0.33,0.4,0.33,,0.47,1.15,1.0,1.1,
g_0,0.01,0.01,0.01,0.01,0.02,0.05,0.15,0.3,,0.28,0.48,0.68,0.67,0.91,,1.03
e_0,0.01,,0.01,0.01,0.02,,0.17,0.29,,0.28,0.35,0.31,0.73,,0.97,1.0
