,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,104.17,81.81,112.26,90.92,123.69,305.7,9855.1,17545.37,36744.39,24544.07,28547.04,45768.18,97527.8,124596.06,107418.62,202999.08
f_1,85.01,131.63,86.67,88.39,108.23,233.5,7131.6,16490.64,21110.34,22147.33,24959.66,25629.51,77480.37,102883.69,93928.58,178039.02
c_1,46.81,71.64,142.48,86.29,186.87,253.95,9729.18,16440.0,17652.89,17169.78,15569.26,42490.32,83658.14,104324.72,115720.08,180926.43
d_1,51.02,75.2,75.02,150.93,116.3,257.45,9857.21,15895.01,18118.94,24994.12,37232.6,39698.68,84371.07,99890.13,124805.95,145277.71
b_1,49.36,67.59,62.47,74.3,193.37,388.59,8187.24,14084.27,15981.37,14107.58,22673.74,31365.67,56942.1,102170.98,96504.82,165047.6
a_1,37.15,56.07,57.58,65.45,66.71,370.66,7947.21,13421.28,13777.34,17157.39,16763.09,25454.0,54153.42,83748.21,91165.15,116205.65
h_1,14.42,29.02,20.9,23.82,32.48,54.94,3487.48,5268.38,5087.38,5524.23,6767.87,9460.41,22890.64,26335.52,34176.61,59662.82
g_1,11.28,15.83,18.29,26.52,23.89,47.04,1942.72,5620.8,3867.91,4866.42,5682.38,11722.74,17930.15,21552.56,31439.04,32329.01
d_0,9.79,16.75,27.68,15.22,27.43,53.04,1874.65,3309.26,5560.95,4841.53,4220.47,8168.86,18880.45,24484.49,26852.62,35591.54
b_0,11.24,16.38,20.24,19.74,20.96,44.91,2048.83,3402.51,4195.17,6100.16,5363.13,9094.82,33164.93,24648.92,27219.78,38602.1
c_0,12.15,16.65,16.21,16.25,19.71,53.09,1933.56,3117.1,4705.25,6981.25,6731.2,8229.62,21386.35,24558.8,26377.84,37082.92
f_0,8.0,12.61,14.53,15.89,23.63,43.01,1677.02,2711.19,3485.41,3937.29,4537.17,9512.58,17648.74,20324.79,36882.47,27391.25
a_0,7.07,11.91,10.73,12.87,19.26,24.53,1187.48,2149.72,2982.86,2553.65,3263.63,5032.38,16738.09,17022.2,15706.31,27425.52
h_0,7.24,12.51,10.76,12.61,14.74,30.43,1002.4,2722.05,2451.83,2674.27,3125.9,4799.58,10926.46,12145.57,13667.26,27588.38
e_0,5.64,11.65,10.94,10.93,13.9,25.22,1046.33,1793.43,2498.5,3004.44,3108.93,4228.49,13853.09,15826.29,21725.75,24486.98
g_0,6.14,7.11,9.21,13.9,12.57,26.1,909.56,1464.98,2314.3,2729.86,2900.24,5845.1,10710.23,10997.63,13366.27,18179.52
