,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,10169.05,4424.96,3467.95,3922.81,5498.4,24551.76,3064091.88,9735672.01,8681910.61,13245177.42,16341578.76,9250536.55,125405888.21,118830322.86,221533575.94,133745724.57
e_1,2602.87,11748.23,2892.5,4508.06,5638.62,34612.59,3214180.99,20484287.97,9277820.32,12668644.61,22042109.21,28718678.32,117859677.17,99975372.52,261706491.27,120186396.93
d_1,2911.58,2456.82,15720.11,2784.62,5901.23,31158.88,3454139.0,3178375.78,9443260.1,27802753.4,21522808.65,25420867.27,113747024.31,154231347.25,223165747.58,202638076.85
c_1,2198.43,2349.5,3182.63,19940.72,11769.32,29984.24,3161213.91,8507371.24,8557513.36,4111962.79,13777937.26,29388131.44,99098936.82,120722018.88,213927838.58,175109915.55
b_1,2133.26,2352.24,2893.59,4537.6,34678.95,74211.7,3341959.42,11193553.71,8351564.9,11841199.39,7127466.73,22381702.38,86358253.54,78616642.05,226311825.4,173335134.71
a_1,2525.24,2659.16,3408.84,4250.37,4836.36,296129.9,5026686.19,11445781.23,9864810.08,12020243.34,23963598.34,21151043.28,134764439.04,54360037.24,197717975.26,203048847.47
h_1,3663.94,3007.88,4542.82,5242.95,6480.14,34318.73,11917481.62,9927154.23,14990258.76,13249330.14,21675326.9,25007413.08,73942047.85,106425899.17,377392368.22,240436828.76
d_0,2532.87,2688.22,1575.82,9909.41,8396.19,46164.49,4873901.48,27398661.6,8808671.84,12228670.7,22220944.69,31562339.16,120120537.36,107705484.39,320186649.37,333176858.99
g_1,2439.47,2985.68,6743.83,3844.7,7089.85,26850.43,3935347.49,11366350.21,39178528.54,18759734.77,21082583.75,49008586.75,152433029.73,158690791.95,132560180.74,224724391.63
c_0,3070.27,3443.47,4214.32,3340.04,6094.59,48670.44,4260890.45,12009895.51,11709990.86,36448479.81,46783551.69,39401581.85,166483189.92,144460961.6,318411692.21,253721087.32
b_0,2995.78,3487.21,4917.62,5335.18,3745.41,32849.38,4459029.59,12336714.55,10944141.65,18044762.43,51037228.07,27765113.37,174834138.52,292036466.17,286162570.1,268528800.14
f_0,1452.1,2321.21,4997.2,6245.51,8282.64,43565.41,4719485.63,14688743.21,12449030.6,18613211.65,27811736.18,75044511.26,157267005.21,186034098.96,271579687.48,613214416.87
h_0,3982.48,3200.82,4870.23,4657.03,7368.05,38414.82,2380528.73,12744908.74,14872368.04,16269916.34,25841035.26,28547764.35,78226280.98,141413723.94,381110519.63,222141352.64
a_0,2448.42,3691.45,4676.08,5292.66,8191.32,24741.67,4934056.84,11426730.63,11073884.85,15034050.72,24685788.97,33735029.64,144363045.81,409656448.29,403771145.12,198405318.73
g_0,2672.32,2542.58,6561.88,5643.85,6502.09,38005.89,4498270.8,11727076.61,6361337.36,14870516.61,26214997.14,48917925.4,121367162.4,149039219.14,188868930.08,247484089.11
e_0,2761.94,1576.71,3821.57,6450.75,8880.2,45482.65,4190762.77,14236616.53,11615258.98,17224129.18,31609851.74,36967480.21,204661025.31,122529818.12,347027465.03,754562388.14
