,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.07,5.13,9.96,7.02,8.19,5.5,3.63,4.01,3.93,2.97,2.66,2.68,2.27,2.19,,1.86
f_1,11.83,1.07,9.78,11.42,7.58,9.73,3.08,2.81,2.82,2.56,,2.54,2.35,1.34,1.95,2.37
d_1,8.91,10.51,1.07,9.16,9.11,9.97,4.52,2.99,2.8,,2.2,2.47,2.3,1.84,3.13,1.28
c_1,13.42,8.93,12.18,1.07,13.31,10.26,4.27,2.7,,1.9,3.27,2.95,2.75,2.34,2.63,2.03
b_1,11.94,11.44,10.46,6.64,1.07,10.98,4.92,3.58,3.94,3.15,4.09,,3.57,2.38,2.17,2.67
a_1,16.08,16.38,10.8,13.93,10.07,1.07,5.18,5.07,4.21,,4.16,3.93,,3.11,,2.8
h_1,12.86,13.37,12.06,10.78,11.01,11.21,1.41,7.02,3.88,4.12,4.27,3.66,3.34,,3.2,4.13
g_1,12.07,18.67,14.59,17.01,16.87,15.01,4.53,1.41,4.09,4.24,4.97,4.32,4.33,2.53,,
c_0,11.97,15.3,10.27,,14.18,12.76,5.87,5.61,1.76,4.07,3.45,5.67,4.95,3.1,4.5,3.12
d_0,11.26,14.21,,19.13,14.53,,5.02,8.05,4.38,1.73,3.59,3.87,4.4,3.64,3.44,3.6
f_0,18.54,,19.11,15.97,13.33,16.04,6.56,4.53,5.24,6.23,1.73,3.62,3.68,3.92,5.24,2.86
b_0,21.0,19.8,20.4,16.96,,18.97,5.52,5.38,2.8,5.27,5.7,1.74,5.98,3.6,3.02,3.72
a_0,29.09,22.16,23.58,19.5,23.26,,6.6,6.1,5.77,5.82,7.42,3.71,1.68,5.48,,3.92
h_0,16.53,22.23,19.36,16.6,13.76,12.57,,6.43,5.43,3.85,5.22,5.7,3.95,,3.31,3.12
e_0,,33.45,16.24,21.94,28.95,,7.64,,6.15,7.28,3.45,8.32,,6.36,1.71,4.31
g_0,19.58,19.27,22.37,21.58,20.64,20.13,4.93,,5.08,6.03,5.34,5.46,6.46,4.4,4.87,
