,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.14,6.08,13.75,12.0,13.0,9.76,3.02,3.91,2.14,2.27,2.36,2.7,1.56,2.37,7.24,1.54
f_1,10.79,1.14,10.83,11.17,11.19,10.47,2.28,3.7,2.25,2.17,2.08,7.07,1.13,2.18,1.95,2.36
d_1,15.15,12.61,1.14,11.59,10.29,14.97,3.39,1.94,2.19,13.12,2.42,2.12,1.48,2.11,2.61,1.11
c_1,10.19,11.37,18.72,1.14,14.4,15.55,3.89,3.15,9.91,1.61,2.81,2.56,1.88,3.08,2.1,1.69
b_1,14.49,17.79,12.57,7.52,1.14,15.43,5.38,5.26,4.05,3.51,10.91,2.61,2.47,2.19,2.73,2.1
a_1,24.95,29.45,18.82,24.3,10.21,1.15,5.15,5.6,3.49,5.01,4.71,2.89,2.63,,4.44,3.74
h_1,27.78,24.61,27.84,32.31,24.21,21.27,1.91,8.24,5.58,5.29,4.98,4.87,9.64,5.81,4.33,4.93
g_1,28.65,49.9,25.92,37.04,37.95,27.31,6.01,1.91,6.99,8.0,5.87,5.12,3.86,6.91,7.4,8.5
c_0,35.26,50.61,16.28,116.81,36.95,28.87,8.96,10.0,2.59,8.1,6.16,6.69,4.6,8.02,7.24,4.86
d_0,18.52,34.22,91.05,31.97,41.91,38.13,10.49,10.94,7.63,2.55,6.84,7.61,6.98,5.9,5.0,4.93
b_0,30.31,33.58,35.84,49.79,117.0,33.68,10.0,11.11,3.49,6.19,2.58,5.12,5.26,6.57,6.12,4.25
f_0,38.2,149.71,41.59,40.49,34.67,53.18,15.36,8.33,8.41,8.0,7.15,3.04,7.64,6.68,8.26,3.43
h_0,57.3,64.16,42.11,63.27,48.41,44.91,61.43,15.22,12.07,12.38,12.44,9.65,22.5,11.46,12.68,9.71
a_0,47.01,51.33,44.33,51.47,117.0,,17.2,23.33,9.76,11.71,5.36,13.94,13.5,2.82,12.68,6.8
e_0,193.0,64.16,52.64,53.28,56.16,54.62,18.7,18.42,11.45,11.12,13.52,6.52,8.8,12.53,2.91,12.59
g_0,62.15,66.54,76.57,59.55,61.04,50.52,17.55,43.75,13.83,14.26,12.2,14.76,7.36,13.83,11.83,30.91
