,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,23.54,0.33,0.36,0.33,0.31,0.34,0.77,1.57,0.75,0.82,0.88,0.92,0.79,0.69,0.19,1.05
f_1,0.73,23.21,0.33,0.28,0.28,0.23,0.65,0.78,0.68,0.77,0.81,0.17,1.01,0.73,0.64,0.89
c_1,0.25,0.3,28.37,0.29,0.71,0.45,0.75,0.95,0.76,0.16,0.58,0.85,0.7,0.73,0.9,0.84
d_1,0.27,0.43,0.25,29.69,0.34,0.35,0.81,0.17,0.83,1.67,0.81,0.74,0.94,0.94,0.81,0.63
b_1,0.31,0.3,0.45,0.4,31.94,0.69,0.57,0.61,0.54,0.6,0.13,0.8,1.12,0.52,0.68,0.83
a_1,0.35,0.3,0.38,0.45,0.32,43.89,0.7,0.66,0.93,0.75,0.66,0.72,0.78,0.14,0.71,0.8
h_1,0.53,1.18,0.57,0.62,0.54,0.54,9.8,1.27,1.33,1.28,1.48,1.44,0.61,1.8,1.36,1.64
d_0,0.45,0.71,1.66,0.16,0.79,0.57,1.28,5.13,1.15,1.1,1.45,1.82,1.64,1.44,1.78,1.46
g_1,0.51,0.64,0.48,1.16,0.7,0.52,1.12,1.49,11.25,1.57,1.92,1.7,1.46,1.33,1.59,0.71
c_0,0.66,0.81,0.19,0.85,0.35,0.6,1.93,1.3,1.45,6.57,4.19,1.79,1.54,2.22,1.85,1.94
b_0,0.74,0.72,0.57,0.77,0.14,0.62,2.09,1.1,1.07,1.5,6.17,1.98,1.42,4.14,1.62,2.11
f_0,0.49,0.24,0.75,0.71,0.8,0.68,1.44,1.66,1.41,1.55,2.32,7.01,1.59,1.71,4.94,1.34
h_0,0.57,1.05,0.69,0.59,0.56,0.65,0.45,1.09,1.5,1.12,1.73,1.65,0.52,1.61,2.06,2.08
a_0,0.71,0.68,0.96,0.78,0.44,0.23,1.12,1.77,1.1,1.55,1.49,1.91,1.99,8.72,1.81,1.69
e_0,0.14,0.73,0.72,0.71,0.9,0.64,1.61,1.63,1.68,1.5,2.25,1.82,1.87,1.87,9.65,1.81
g_0,0.75,0.38,0.52,1.24,0.75,0.52,1.46,1.03,0.58,1.49,1.2,3.3,2.25,1.48,1.73,0.62
