,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.48,0.12,0.17,0.14,0.17,0.12,0.18,0.17,0.35,0.24,0.2,0.19,0.18,0.15,0.24,
f_1,0.32,1.49,0.17,0.15,0.14,0.16,0.16,0.14,0.21,0.2,0.2,,0.2,0.17,0.17,0.15
d_1,0.19,0.18,1.53,0.16,0.14,0.15,0.22,0.17,,0.32,0.16,0.19,0.23,0.16,0.18,0.13
c_1,0.17,0.15,0.17,1.54,0.28,0.12,0.23,0.2,0.21,,0.17,0.19,0.25,0.17,0.16,0.14
b_1,0.18,0.22,0.18,0.12,1.61,0.22,0.21,0.24,0.16,0.22,,0.27,0.19,0.13,0.16,0.17
a_1,0.2,0.17,0.17,0.2,0.15,1.77,0.24,0.18,0.23,0.23,0.19,0.26,0.27,,,
h_1,0.41,0.57,0.38,0.37,0.31,0.22,1.63,0.56,0.55,0.44,0.42,0.39,,0.39,0.41,0.4
g_1,0.38,0.45,0.54,0.36,0.31,0.37,0.5,1.7,0.37,0.34,0.5,0.59,0.55,0.35,,0.32
d_0,0.36,0.44,,0.77,0.54,0.39,0.5,0.44,1.4,0.53,0.53,0.43,0.66,0.54,0.58,0.42
c_0,0.45,0.52,0.39,,0.39,0.33,0.6,0.55,0.63,1.44,0.85,0.32,0.66,0.33,0.69,0.48
b_0,0.52,0.46,0.47,0.5,,0.32,0.71,0.53,0.48,0.44,1.46,0.61,0.63,0.83,0.44,0.43
f_0,0.43,,0.52,0.52,0.31,0.33,0.5,0.46,0.73,0.75,0.51,1.53,0.66,0.4,0.4,0.71
h_0,0.66,0.83,0.59,0.52,0.64,0.36,,0.74,0.58,0.66,0.65,0.61,,0.52,1.09,0.53
a_0,0.58,0.5,0.42,0.54,0.45,,0.48,0.55,0.67,0.72,0.39,0.62,0.58,1.65,0.69,
g_0,0.43,0.82,0.84,0.68,0.5,,0.69,,0.6,0.58,0.86,0.91,0.75,0.49,,0.68
e_0,,0.47,0.46,0.55,0.49,,0.68,0.53,0.78,0.61,0.69,0.54,0.65,,0.62,1.65
